time,wx,wy,wz
0.271,0.17,0.06,0.06
0.288,0.17,0.06,0.06
0.305,0.17,0.07,0.06
0.321,0.16,0.09,0.07
0.338,0.16,0.14,0.08
0.355,0.16,0.19,0.09
0.371,0.17,0.25,0.12
0.388,0.19,0.28,0.14
0.405,0.23,0.33,0.15
0.421,0.38,0.5,0.13
0.438,0.5,0.65,0.09
0.455,0.56,0.72,0.06
0.471,0.57,0.71,0.04
0.488,0.45,0.5,-0.05
0.521,0.34,0.36,-0.11
0.538,0.14,0.05,-0.15
0.555,0.07,-0.08,-0.18
0.588,0.06,-0.18,-0.18
0.605,0.12,-0.12,-0.14
0.621,0.17,-0.05,-0.11
0.638,0.17,-0.01,-0.08
0.655,0.17,0.01,-0.03
0.671,0.2,0.05,0.03
0.688,0.25,0.11,0.07
0.705,0.3,0.2,0.07
0.721,0.35,0.31,0.05
0.738,0.41,0.43,0.05
0.755,0.43,0.49,0.07
0.771,0.39,0.47,0.08
0.788,0.31,0.39,0.05
0.805,0.2,0.3,0.02
0.821,0.1,0.21,-0.02
0.838,0.02,0.13,-0.06
0.855,-0.04,0.05,-0.09
0.871,-0.06,-0.02,-0.11
0.888,-0.06,-0.05,-0.1
0.905,-0.02,-0.03,-0.08
0.921,0.03,0.02,-0.06
0.938,0.07,0.09,-0.04
0.955,0.11,0.18,-0.05
0.971,0.15,0.27,-0.05
0.988,0.18,0.36,-0.06
1.005,0.2,0.42,-0.07
1.021,0.19,0.46,-0.11
1.038,0.16,0.47,-0.15
1.055,0.13,0.47,-0.2
1.071,0.1,0.39,-0.25
1.105,0.09,0.33,-0.26
1.121,0.12,0.27,-0.24
1.138,0.17,0.27,-0.24
1.171,0.33,0.31,-0.28
1.188,0.42,0.34,-0.31
1.205,0.5,0.38,-0.32
1.221,0.58,0.41,-0.32
1.238,0.64,0.42,-0.31
1.255,0.68,0.39,-0.32
1.271,0.72,0.35,-0.33
1.288,0.76,0.3,-0.34
1.305,0.81,0.22,-0.37
1.321,0.83,0.13,-0.38
1.338,0.83,0.02,-0.38
1.355,0.82,-0.11,-0.34
1.371,0.75,-0.35,-0.31
1.388,0.58,-0.56,-0.32
1.405,0.49,-0.61,-0.3
1.421,0.37,-0.66,-0.27
1.438,0.34,-0.63,-0.26
1.455,0.37,-0.55,-0.29
1.471,0.45,-0.34,-0.31
1.488,0.53,-0.14,-0.33
1.505,0.58,0.02,-0.29
1.521,0.64,0.16,-0.22
1.538,0.66,0.21,-0.16
1.555,0.64,0.21,-0.12
1.571,0.63,0.22,-0.11
1.588,0.62,0.27,-0.12
1.605,0.62,0.35,-0.15
1.626,0.59,0.53,-0.22
1.655,0.54,0.59,-0.26
1.671,0.42,0.58,-0.29
1.688,0.3,0.54,-0.33
1.705,0.15,0.36,-0.39
1.721,-0.17,-0.19,-0.48
1.755,-0.29,-0.42,-0.53
1.771,0.01,-0.24,-0.53
1.788,0.45,0.37,-0.4
1.808,0.7,0.87,-0.16
1.821,0.68,1.03,0.07
1.838,0.49,1.02,0.25
1.855,0.33,0.9,0.37
1.871,0.28,0.78,0.46
1.888,0.33,0.8,0.5
1.905,0.42,1.04,0.56
1.921,0.52,1.43,0.66
1.938,0.64,1.76,0.76
1.955,0.66,2.01,0.81
1.971,0.66,2.25,0.76
1.988,0.67,2.57,0.63
2.005,0.78,3.01,0.44
2.021,0.99,3.41,0.2
2.038,1.17,3.64,0
2.055,1.19,3.75,-0.12
2.071,1.13,3.92,-0.15
2.088,1.25,4.17,-0.14
2.105,1.5,4.42,-0.08
2.121,1.77,4.53,0
2.138,1.97,4.48,0.14
2.155,2.14,4.31,0.33
2.171,2.37,3.93,0.55
2.188,2.62,3.45,0.78
2.205,2.88,3.02,1.02
2.221,3.1,2.72,1.24
2.238,3.26,2.51,1.38
2.255,3.37,2.36,1.42
2.271,3.39,2.2,1.4
2.288,3.22,2.07,1.36
2.305,2.71,1.8,1.07
2.338,2.39,1.69,0.86
2.355,1.57,1.63,0.41
2.371,1.11,1.6,0.17
2.405,0.21,1.41,-0.13
2.421,-0.22,1.27,-0.16
2.438,-0.67,1.01,-0.17
2.455,-1.1,0.7,-0.13
2.471,-1.45,0.4,-0.09
2.488,-1.67,0.09,-0.12
2.505,-1.86,-0.29,-0.2
2.521,-2.09,-0.71,-0.27
2.538,-2.33,-1.05,-0.32
2.555,-2.53,-1.21,-0.39
2.571,-2.72,-1.25,-0.53
2.588,-2.89,-1.26,-0.72
2.605,-3.09,-1.29,-0.94
2.621,-3.26,-1.38,-1.16
2.638,-3.34,-1.54,-1.37
2.655,-3.34,-1.78,-1.54
2.675,-3.34,-2.06,-1.65
2.688,-3.39,-2.32,-1.71
2.705,-3.47,-2.62,-1.8
2.721,-3.63,-3.01,-1.94
2.738,-3.8,-3.49,-2.12
2.755,-3.96,-3.99,-2.31
2.771,-4.15,-4.37,-2.5
2.788,-4.33,-4.46,-2.61
2.805,-4.23,-4.28,-2.65
2.821,-4.12,-3.9,-2.6
2.838,-4.05,-3.4,-2.52
2.855,-3.98,-2.91,-2.48
2.871,-3.87,-2.58,-2.6
2.888,-3.62,-2.37,-2.85
2.905,-3.25,-2.19,-3.14
2.921,-2.83,-1.99,-3.35
2.938,-2.41,-1.77,-3.42
2.955,-1.53,-1.3,-3.19
2.988,-1.09,-1.14,-2.94
3.005,-0.33,-0.89,-2.24
3.021,-0.04,-0.8,-1.83
3.055,0.3,-0.59,-1.08
3.071,0.46,-0.43,-0.77
3.088,0.6,-0.25,-0.5
3.105,0.71,-0.07,-0.28
3.122,0.78,0.06,-0.08
3.138,0.81,0.12,0.14
3.155,0.84,0.15,0.4
3.171,0.81,0.21,0.71
3.188,0.72,0.38,1.03
