time,ax,ay,az,aT
0.0170,-0.5710,0.1600,0.4470,0.743
0.0170,-0.8270,0.1370,0.5760,1.017
0.0230,-1.0110,-0.0170,0.8180,1.301
0.0300,-0.9670,-0.2120,1.2130,1.566
0.0400,-0.6910,-0.4050,1.5650,1.758
0.0500,-0.1380,-0.5620,1.8950,1.981
0.0630,0.5960,-0.6090,2.2260,2.384
0.0700,1.3800,-0.4900,2.5570,2.947
0.0810,2.0040,-0.3250,2.7030,3.381
0.0910,2.3290,-0.1920,2.6340,3.521
0.1010,2.4040,-0.0960,2.5430,3.501
0.1210,2.0560,-0.1260,2.4290,3.185
0.1220,1.3540,-0.2470,2.0340,2.456
0.1300,0.7320,-0.3570,1.5050,1.711
0.1400,0.2710,-0.3580,1.0530,1.145
0.1550,0.0990,-0.3390,0.7490,0.828
0.1630,0.2570,-0.1910,0.5660,0.650
0.1700,0.6880,-0.0850,0.3890,0.795
0.1800,2.6470,0.0280,-0.6170,2.718
0.1900,4.8870,-0.2150,-1.9820,5.278
0.2080,2.7600,-0.6780,-3.0100,4.140
0.2100,0.3740,-0.2940,-1.4420,1.518
0.2200,1.7000,0.2620,-0.2420,1.737
0.2340,1.3310,0.1870,0.9920,1.671
0.2400,0.0710,0.1090,0.8830,0.893
0.2500,-0.7280,-0.1710,-0.2940,0.804
0.2600,-0.7930,0.0080,0.0220,0.793
0.2710,-0.2590,0.3630,0.3270,0.553
0.2810,0.4240,0.6000,0.5300,0.906
0.2900,1.3470,0.2230,0.7960,1.580
0.3000,1.8980,-0.1670,0.9890,2.147
0.3100,0.6730,0.8190,1.6390,1.952
0.3200,0.1560,0.3020,0.5270,0.627
0.3300,-0.2460,-1.1230,0.1770,1.163
0.3400,-1.0110,-1.6380,1.0090,2.173
0.3500,-1.6080,-1.2100,1.6620,2.610
0.3660,-1.1810,-0.8340,1.2090,1.885
0.3690,-1.2860,-1.0370,0.5740,1.749
0.3810,-1.1870,-1.4730,0.6270,1.993
0.3900,-1.2970,-1.6200,0.5980,2.160
0.4000,-0.8330,-1.2480,0.4840,1.577
0.4100,-0.4680,-1.0540,0.3550,1.207
0.4200,-0.0840,-1.0730,0.2380,1.102
0.4380,0.0520,-1.0660,-0.0670,1.069
0.4390,0.0400,-1.0140,-0.4950,1.129
0.4510,-0.1450,-0.6850,-0.9170,1.154
0.4630,-0.1640,-0.5150,-1.2830,1.392
0.4700,-0.8700,0.0400,-2.0380,2.216
0.4800,-1.2770,0.0680,-2.7150,3.001
0.4900,-0.8910,-0.2360,-3.4550,3.576
0.5030,-1.2010,-0.2620,-3.3810,3.598
0.5100,-1.6830,-0.3310,-3.1220,3.562
0.5190,-1.9240,-0.1990,-2.9840,3.556
0.5370,-1.1650,-0.5600,-2.9110,3.185
0.5390,-0.8130,1.1020,-2.1270,2.530
0.5490,0.7850,1.9240,-1.9240,2.832
0.5600,4.2900,-1.4950,-0.1890,4.547
0.5720,0.6690,-1.9670,0.9650,2.291
0.5790,-3.8660,-0.1280,-0.2650,3.877
0.5890,-2.7820,1.7680,-0.4820,3.331
0.6010,0.2150,0.8050,-0.7040,1.091
0.6090,-0.2470,0.2930,-0.0010,0.383
0.6200,-0.9250,0.8080,1.3710,1.841
0.6300,-0.2720,-0.1970,1.2160,1.262
0.6400,1.2110,-0.0360,1.3230,1.794
0.6510,1.0580,0.4490,0.9440,1.487
0.6610,0.1310,0.3320,0.1140,0.375
