time,wx,wy,wz
0.022,-0.07,-0.13,0.01
0.022,-0.07,-0.13,0.01
0.023,-0.06,-0.13,0.01
0.023,-0.06,-0.12,0.01
0.023,-0.05,-0.11,0.00
0.024,-0.05,-0.09,0.00
0.024,-0.05,-0.08,-0.00
0.024,-0.05,-0.06,-0.00
0.025,-0.04,-0.04,-0.01
0.025,-0.04,-0.02,-0.01
0.025,-0.04,-0.00,-0.01
0.026,-0.05,0.02,-0.01
0.026,-0.05,0.04,-0.01
0.031,-0.05,0.05,-0.01
0.031,-0.06,0.07,-0.01
0.032,-0.06,0.08,-0.01
0.044,-0.07,0.09,-0.01
0.044,-0.08,0.09,-0.01
0.045,-0.08,0.10,-0.01
0.045,-0.09,0.10,-0.01
0.046,-0.09,0.10,-0.01
0.047,-0.10,0.10,-0.01
0.051,-0.11,0.09,-0.00
0.052,-0.11,0.08,-0.00
0.054,-0.12,0.07,-0.00
0.057,-0.12,0.07,0.00
0.059,-0.12,0.06,0.00
0.062,-0.13,0.05,0.01
0.067,-0.13,0.04,0.00
0.068,-0.13,0.03,0.00
0.070,-0.13,0.02,0.00
0.072,-0.14,0.00,0.00
0.075,-0.14,-0.01,0.00
0.077,-0.14,-0.02,0.00
0.081,-0.14,-0.03,0.00
0.083,-0.14,-0.04,0.00
0.086,-0.15,-0.04,0.00
0.087,-0.15,-0.05,0.00
0.089,-0.15,-0.05,0.00
0.092,-0.15,-0.04,0.00
0.094,-0.15,-0.04,-0.00
0.097,-0.15,-0.03,-0.01
0.100,-0.15,-0.03,-0.01
0.102,-0.15,-0.02,-0.01
0.105,-0.15,-0.02,-0.01
0.107,-0.15,-0.01,-0.01
0.110,-0.15,-0.01,-0.01
0.112,-0.15,-0.00,-0.01
0.115,-0.15,-0.00,-0.01
0.117,-0.15,-0.00,-0.01
0.120,-0.15,0.00,-0.02
0.122,-0.15,0.00,-0.02
0.125,-0.15,0.00,-0.03
0.127,-0.15,0.00,-0.02
0.133,-0.15,0.00,-0.03
0.134,-0.15,0.00,-0.03
0.135,-0.15,0.00,-0.03
0.137,-0.15,0.00,-0.02
0.139,-0.15,0.00,-0.02
0.142,-0.15,0.00,-0.02
0.145,-0.15,0.00,-0.02
0.147,-0.15,0.00,-0.03
0.150,-0.15,0.00,-0.03
0.152,-0.15,0.00,-0.03
0.154,-0.15,0.01,-0.03
0.157,-0.15,0.01,-0.03
0.159,-0.15,0.02,-0.03
0.162,-0.14,0.02,-0.02
0.181,-0.14,0.02,-0.02
0.183,-0.14,0.03,-0.02
0.183,-0.14,0.03,-0.03
0.184,-0.14,0.04,-0.03
0.184,-0.14,0.04,-0.02
0.185,-0.14,0.05,-0.02
0.185,-0.14,0.05,-0.02
0.185,-0.14,0.05,-0.02
0.186,-0.15,0.06,-0.02
0.188,-0.15,0.06,-0.01
0.190,-0.15,0.07,-0.01
0.192,-0.15,0.07,-0.01
0.194,-0.16,0.07,-0.01
0.197,-0.16,0.07,-0.01
0.202,-0.16,0.07,-0.01
0.203,-0.17,0.06,-0.01
0.205,-0.17,0.06,-0.00
0.207,-0.17,0.06,-0.00
0.210,-0.17,0.05,-0.01
0.212,-0.17,0.05,-0.00
0.215,-0.17,0.04,-0.00
0.217,-0.17,0.04,0.00
0.219,-0.17,0.03,0.00
0.222,-0.18,0.03,0.00
0.224,-0.18,0.03,-0.00
0.227,-0.18,0.02,-0.00
0.230,-0.17,0.02,-0.00
0.234,-0.18,0.02,-0.01
0.235,-0.18,0.02,-0.01
0.237,-0.17,0.02,-0.01
0.239,-0.17,0.03,-0.01
0.242,-0.17,0.03,-0.01
0.245,-0.16,0.04,-0.02
0.250,-0.16,0.05,-0.02
0.251,-0.16,0.05,-0.02
0.252,-0.16,0.06,-0.02
0.254,-0.16,0.07,-0.02
0.257,-0.15,0.07,-0.02
0.259,-0.15,0.08,-0.02
0.263,-0.15,0.08,-0.03
0.264,-0.15,0.08,-0.03
0.277,-0.15,0.09,-0.03
0.278,-0.15,0.09,-0.03
0.279,-0.15,0.09,-0.04
0.279,-0.15,0.09,-0.04
0.279,-0.15,0.09,-0.04
0.280,-0.15,0.10,-0.04
0.282,-0.15,0.10,-0.04
0.285,-0.15,0.10,-0.05
0.287,-0.15,0.11,-0.05
0.290,-0.15,0.11,-0.05
0.291,-0.15,0.12,-0.06
0.294,-0.14,0.12,-0.07
0.298,-0.14,0.13,-0.07
0.300,-0.14,0.14,-0.09
0.302,-0.14,0.14,-0.10
0.304,-0.14,0.15,-0.11
0.307,-0.14,0.15,-0.12
0.309,-0.13,0.16,-0.14
0.312,-0.13,0.17,-0.15
0.315,-0.13,0.18,-0.17
0.317,-0.13,0.19,-0.19
0.319,-0.14,0.20,-0.21
0.322,-0.14,0.22,-0.23
0.324,-0.15,0.23,-0.25
0.327,-0.15,0.25,-0.27
0.332,-0.16,0.27,-0.29
0.333,-0.16,0.30,-0.30
0.334,-0.17,0.33,-0.32
0.338,-0.18,0.35,-0.34
0.339,-0.19,0.38,-0.36
0.342,-0.19,0.41,-0.37
0.344,-0.20,0.44,-0.38
0.347,-0.20,0.46,-0.40
0.349,-0.20,0.49,-0.41
0.352,-0.20,0.51,-0.42
0.354,-0.19,0.53,-0.44
0.357,-0.19,0.55,-0.46
0.359,-0.18,0.57,-0.48
0.362,-0.18,0.58,-0.50
0.364,-0.17,0.59,-0.52
