time,ax,ay,az,atotal
0.419,-0.3,0.23,-0.41,0.56
0.429,-0.22,0.15,-0.48,0.55
0.439,-0.03,0.01,-0.62,0.62
0.449,0.1,-0.13,-0.71,0.73
0.459,0.15,-0.21,-0.7,0.75
0.469,0.16,-0.21,-0.64,0.69
0.479,0.15,-0.24,-0.54,0.61
0.489,0.02,-0.23,-0.47,0.53
0.499,-0.13,-0.22,-0.43,0.5
0.509,-0.19,-0.19,-0.38,0.46
0.519,-0.21,-0.13,-0.41,0.48
0.529,-0.16,-0.03,-0.44,0.47
0.539,0.05,0.03,-0.37,0.37
0.549,0.24,0.06,-0.25,0.35
0.559,0.38,-0.04,-0.15,0.41
0.569,0.34,-0.14,0.03,0.37
0.579,0.14,-0.17,0.12,0.25
0.589,-0.01,-0.16,0.11,0.2
0.599,-0.1,-0.11,0.06,0.16
0.609,-0.21,-0.04,0.06,0.22
0.619,-0.25,-0.01,0.1,0.27
0.629,-0.31,0.02,0.16,0.35
0.639,-0.38,0.06,0.18,0.42
0.649,-0.46,0.11,0.15,0.49
0.659,-0.46,0.17,0.14,0.51
0.669,-0.38,0.26,0.13,0.48
0.679,-0.49,0.38,0.04,0.63
0.689,-0.47,0.46,-0.05,0.66
0.699,-0.6,0.53,-0.05,0.8
0.709,-0.82,0.63,-0.06,1.03
0.719,-0.89,0.76,-0.12,1.17
0.729,-0.85,0.94,-0.2,1.29
0.739,-0.95,1.19,-0.29,1.54
0.749,-1.04,1.38,-0.33,1.76
0.759,-1.34,1.57,-0.32,2.09
0.769,-1.52,1.79,-0.1,2.36
0.779,-1.52,1.98,0.35,2.52
0.789,-1.49,2.15,0.88,2.76
0.799,-1.57,2.3,1.49,3.15
0.809,-1.48,2.46,2.14,3.58
0.819,-1.43,2.68,2.68,4.05
0.829,-1.38,2.72,2.98,4.26
0.839,-1.2,2.53,3.12,4.2
0.849,-0.97,2.39,3.2,4.11
0.859,-0.81,2.36,3.42,4.24
0.869,-0.68,2.32,3.73,4.45
0.879,-0.36,2.14,4.09,4.63
0.889,-0.04,2.12,4.24,4.74
0.899,-0.07,2.38,4.11,4.75
0.909,-0.18,2.61,3.96,4.74
0.919,-0.44,2.6,3.77,4.6
0.929,-0.81,2.28,3.71,4.43
0.939,-1.07,1.82,3.91,4.44
0.949,-1.24,1.47,4.14,4.56
0.959,-1.18,1.27,3.94,4.31
0.969,-0.99,1.13,3.34,3.67
0.979,-0.8,1.14,2.74,3.07
0.989,-0.65,1.19,2.41,2.76
0.998,-0.58,1.05,2.31,2.6
1.008,-0.62,0.87,2.33,2.57
1.019,-0.61,0.58,2.3,2.45
1.028,-0.49,0.27,1.95,2.03
1.039,-0.29,0.14,1.44,1.47
1.049,-0.24,0.15,0.87,0.92
1.059,-0.38,0.02,0.53,0.65
1.069,-0.44,-0.33,0.35,0.65
1.079,-0.57,-0.7,0.2,0.92
1.088,-0.66,-1.15,0,1.32
1.098,-0.68,-1.54,-0.33,1.71
1.109,-0.69,-1.82,-0.79,2.1
1.119,-0.73,-1.97,-1.19,2.42
1.129,-0.68,-2.17,-1.37,2.66
1.138,-0.61,-2.54,-1.35,2.94
1.148,-0.82,-2.81,-1.34,3.22
1.158,-1.11,-3.05,-1.44,3.55
1.169,-1.24,-3.24,-1.47,3.76
1.179,-1,-3.4,-1.45,3.83
1.188,-0.54,-3.58,-1.52,3.92
1.198,0.07,-3.87,-1.59,4.19
1.208,0.58,-4.25,-1.64,4.6
1.218,0.85,-4.62,-1.72,5
1.228,1.08,-4.99,-1.9,5.44
1.238,1.34,-5.36,-2.25,5.97
1.248,1.47,-5.79,-2.61,6.52
1.258,1.57,-6.25,-2.75,7.01
1.268,1.27,-6.76,-2.7,7.39
1.279,0.73,-7.38,-2.5,7.82
1.288,0.42,-8.06,-2.31,8.39
1.298,0.27,-8.62,-2.5,8.98
1.308,-0.07,-8.94,-3.01,9.44
1.318,-0.51,-9.06,-3.44,9.7
1.329,-0.78,-9.12,-3.66,9.86
1.338,-0.56,-9.12,-3.56,9.8
1.348,-0.31,-8.92,-3.35,9.53
1.358,0.11,-8.7,-3.22,9.28
1.368,0.83,-8.56,-3.53,9.29
1.378,1.25,-8.41,-4.18,9.48
1.388,0.97,-8.21,-4.53,9.42
1.398,0.35,-8,-3.95,8.93
1.408,0.03,-7.67,-2.4,8.04
1.418,0.01,-7.08,-0.82,7.13
1.428,0.03,-6.38,-0.07,6.38
1.438,0.79,-5.83,-0.57,5.91
1.448,2.14,-5.38,-1.59,6
1.458,3.65,-4.75,-2.02,6.32
1.468,5.74,-3.89,-0.94,7
1.478,8.34,-2.79,0.79,8.83
1.488,11.44,-1.86,1.64,11.71
1.499,14.63,-1.35,1.08,14.73
1.509,17.37,-1.2,0.83,17.43
1.518,19.49,-1.23,1.99,19.63
1.529,20.92,-1.18,4.28,21.38
1.538,21.01,-0.88,6.24,21.94
1.548,20.48,-0.15,8.02,22
1.559,20,1.08,9.69,22.24
1.568,19.56,2.69,10.64,22.43
1.579,18.94,4.51,11.37,22.55
1.588,18.13,6.34,12.85,23.11
1.598,16.46,7.91,14.21,23.14
1.608,14.27,8.96,14.65,22.33
1.618,11.87,9.6,13.68,20.5
1.628,9.18,10.31,12,18.29
1.638,6.43,11.46,10.59,16.87
1.648,3.74,12.74,9.73,16.46
1.658,1.26,13.98,9.1,16.73
1.668,-1.25,15.18,8.85,17.62
1.678,-3.61,16.15,9.26,18.96
1.687,-5.83,16.61,9.73,20.12
1.698,-7.76,16.55,9.61,20.65
1.708,-8.9,16.09,8.42,20.23
1.718,-9.32,15.32,6.57,19.1
1.728,-9.25,14.32,4.62,17.66
1.737,-8.73,13.22,3.32,16.18
1.748,-7.87,12.09,2.51,14.64
1.757,-7.19,10.48,1.67,12.82
1.768,-6.21,8.71,1,10.75
1.778,-4.54,7.04,0.45,8.39
1.787,-2.22,5.25,0.17,5.7
1.798,-0.09,3.19,0.37,3.22
1.808,1.83,0.91,1.27,2.4
1.818,3.44,-1.64,2.48,4.55
1.827,4.22,-4.31,3.48,6.96
1.837,4.55,-6.81,4.73,9.46
1.847,5.2,-9.01,6.45,12.24
1.857,6.14,-10.47,7.98,14.53
1.867,7.47,-10.53,10.17,16.43
1.877,9.04,-8.26,13.95,18.56
1.887,11.27,-5.19,17.68,21.6
1.898,13.13,-3.02,18.39,22.8
1.907,15.16,-1.97,16.85,22.75
1.917,18.79,-2.64,14.98,24.18
1.928,21.27,-4.48,12.65,25.15
1.937,21.97,-7.1,9.56,24.99
1.948,20.64,-10.02,6.11,23.75
1.957,17.88,-11.65,3.81,21.67
1.967,14.54,-11.89,2.07,18.89
1.977,10.63,-10.95,0.2,15.26
1.987,6.91,-9.23,-1.75,11.67
1.997,4.08,-6.85,-2.35,8.32
2.007,2.28,-4.39,-0.57,4.98
2.017,1.54,-3.07,1.19,3.63
2.027,1.23,-3.61,1.11,3.97
2.037,0.18,-6.41,-0.23,6.42
2.047,-1.51,-10.49,-1.27,10.68
2.057,-3.15,-14.08,-1.36,14.49
2.067,-4.49,-16.02,-1.43,16.7
2.077,-5.62,-16.7,-2.86,17.85
2.087,-5.99,-17.05,-5.36,18.85
2.097,-5.2,-17.31,-7.59,19.6
2.107,-3.94,-16.85,-8.59,19.32
2.117,-2.26,-15.48,-7.88,17.51
2.127,-0.49,-12.71,-5.63,13.91
2.137,1.27,-9.19,-4.15,10.16
2.147,3.19,-5.97,-3.84,7.78
2.157,5.41,-3.7,-3.91,7.64
2.167,7.93,-2.17,-3.1,8.79
2.177,10.62,-1.01,-0.63,10.69
2.187,13.27,0.19,2.54,13.51
2.197,15.68,1.5,4.6,16.41
2.208,18.32,2.93,5.9,19.47
2.217,22.01,4.76,7.41,23.7
2.227,25.51,6.58,8.57,27.7
2.237,28.05,7.51,8.54,30.27
2.247,28.81,7.64,8.01,30.86
2.257,27.21,7.2,8.27,29.34
2.267,22.61,7.47,8.9,25.42
2.277,17.72,9.66,9.71,22.39
2.287,14.02,13.6,8.43,21.27
2.297,12.3,18.39,7.38,23.32
2.307,11.9,20.78,7.33,25.04
2.317,10.83,21.4,6.91,24.96
2.326,9.09,21.16,6.6,23.96
2.336,7.24,19.98,6.85,22.33
2.347,5.1,18.31,6.99,20.25
