time,wx,wy,wz
0.287,-0.07,-0.06,0.18
0.303,-0.06,-0.06,0.18
0.32,-0.04,-0.07,0.17
0.337,-0.02,-0.07,0.16
0.353,-0.01,-0.07,0.15
0.37,0.01,-0.07,0.16
0.387,0.03,-0.08,0.17
0.403,0.04,-0.08,0.18
0.42,0.03,-0.09,0.19
0.437,0.01,-0.12,0.2
0.453,0,-0.16,0.2
0.47,0,-0.2,0.2
0.487,0,-0.22,0.2
0.503,0.01,-0.24,0.2
0.52,0.01,-0.26,0.21
0.537,0.01,-0.31,0.22
0.553,0.03,-0.39,0.25
0.57,0.05,-0.5,0.3
0.587,0.08,-0.64,0.39
0.603,0.13,-0.83,0.5
0.62,0.18,-1.02,0.62
0.637,0.24,-1.25,0.73
0.654,0.31,-1.53,0.89
0.67,0.46,-2.12,1.27
0.703,0.52,-2.31,1.48
0.719,0.65,-2.54,1.94
0.736,0.73,-2.54,2.21
0.769,1.02,-2.17,2.73
0.786,1.2,-1.95,2.98
0.803,1.33,-1.96,3.22
0.819,1.24,-2.43,3.26
0.838,0.92,-3.41,3.16
0.854,0.83,-3.96,3.04
0.87,0.87,-3.56,2.98
0.887,0.86,-2.84,3.04
0.904,0.79,-2.36,3.06
0.92,0.68,-2.29,2.93
0.937,0.51,-2.14,2.74
0.953,0.44,-1.72,2.65
0.97,0.45,-1.3,2.47
0.987,0.33,-1.18,2.13
1.003,-0.62,-0.96,0.13
1.02,-2.04,-0.06,0.23
1.037,-2.51,0.57,-0.03
1.053,-2.18,1.48,-0.21
1.07,-2.06,1.76,-0.3
1.087,-2.11,1.68,-0.14
1.103,-1.79,1.79,0.01
1.12,-1.32,1.84,0.11
1.137,-0.96,1.53,0.12
1.153,-0.6,1.13,0
1.17,-0.14,0.85,-0.12
1.187,0.31,0.79,-0.2
1.203,0.55,0.59,-0.21
1.22,0.5,0.31,-0.15
1.237,0.43,0.37,0.04
1.254,-0.01,0.72,0.07
1.292,-0.08,0.64,-0.33
1.309,0.04,0.52,-0.54
1.32,0.32,0.12,-0.68
1.353,0.65,-0.39,-0.67
1.369,1.18,-0.71,-0.33
1.386,1.39,-0.91,-0.13
1.419,1.42,-1.17,0.09
1.436,1.35,-1.44,0.19
1.453,1.25,-1.83,0.32
1.471,1.15,-2.16,0.44
1.487,1.01,-2.32,0.56
1.503,0.79,-2.4,0.68
1.52,0.52,-2.63,0.82
1.537,0.26,-3.04,1.02
1.553,0.07,-3.45,1.38
1.57,0,-3.75,1.84
1.589,0.04,-3.99,2.28
1.604,0.11,-4.29,2.62
1.62,0.16,-4.51,2.87
1.637,0.17,-4.45,3.07
1.653,0.13,-4.13,3.25
1.67,0.01,-3.71,3.39
1.687,-0.18,-3.32,3.47
1.703,-0.33,-3.03,3.51
1.721,-0.45,-2.72,3.54
1.737,-0.51,-2.36,3.56
1.753,-0.56,-2.04,3.55
1.77,-0.6,-1.78,3.52
1.787,-0.59,-1.53,3.43
1.803,-0.55,-1.38,3.25
1.82,-0.58,-1.37,2.91
1.837,-0.7,-1.39,2.5
1.853,-0.8,-1.37,2.09
1.87,-0.76,-1.38,1.71
1.887,-0.72,-1.38,1.3
1.903,-1.1,-0.7,0.6
1.936,-1.17,0,0.22
1.953,-1.1,0.83,-0.65
1.97,-0.93,1.28,-1.03
1.988,-0.42,1.75,-1.39
2.004,0.24,2.2,-1.75
2.02,0.99,2.46,-2.11
2.037,1.91,2.45,-2.43
2.054,2.94,1.98,-2.74
2.071,3.95,1.3,-3.28
2.087,4.72,0.81,-4.01
2.104,5.09,0.85,-4.64
2.12,4.86,1.04,-4.87
2.137,4.37,1.27,-4.99
2.153,3.6,1.45,-5.56
2.17,2.59,1.71,-6.43
2.187,1.87,1.76,-7.16
2.203,1.53,1.49,-7.27
2.22,1.48,1.36,-6.78
2.237,1.75,1.62,-6.02
2.253,1.84,1.65,-5.12
2.27,1.5,1.18,-4.28
2.287,1.26,1,-3.61
2.303,0.95,1.01,-3.13
2.32,0.41,1.08,-2.81
2.341,-0.06,1.43,-2.6
2.353,-0.37,1.9,-2.4
2.37,-0.67,2.08,-2.2
2.387,-0.9,1.94,-1.93
2.403,-0.89,1.7,-1.61
2.42,-0.7,1.5,-1.25
2.437,-0.47,1.48,-0.87
2.453,-0.24,1.57,-0.52
2.47,-0.06,1.57,-0.26
2.487,0.24,1.11,0.09
2.519,0.45,0.77,0.24
2.536,0.64,0.3,0.38
2.554,0.89,-0.53,0.64
2.586,0.99,-0.65,0.8
2.603,1.04,-0.91,1.11
2.619,0.99,-1.06,1.26
2.653,0.95,-0.82,1.46
2.669,1.03,-0.57,1.66
2.686,0.96,-0.78,2.11
2.703,0.22,-1.72,2.82
2.719,-0.43,-2.05,3.51
2.736,-0.52,-1.26,4.11
2.753,-0.38,-0.26,4.66
2.769,-0.68,-0.02,5.2
2.786,-1.32,-1.06,5.56
2.803,-1.24,-2.04,5.79
2.819,-0.77,-2.6,5.82
2.836,-0.39,-2.97,5.73
2.853,-0.19,-3.15,5.58
2.869,-0.1,-3.09,5.37
2.886,-0.15,-2.87,5.18
2.904,-0.29,-2.44,5.03
2.92,-0.41,-1.85,4.89
2.937,-0.46,-1.28,4.7
2.954,-0.51,-0.75,4.42
2.97,-0.62,-0.27,4.06
2.987,-0.76,0.18,3.64
3.003,-0.91,0.52,3.21
3.02,-1.1,0.67,2.79
3.037,-1.41,0.56,2.37
3.053,-1.74,0.35,2.01
3.07,-1.91,0.28,1.79
3.087,-1.95,0.35,1.73
3.103,-1.92,0.41,1.77
3.12,-1.92,0.31,1.85
3.137,-2.04,0.11,2.05
3.169,-2.06,0.14,2.03
3.186,-2.3,0.74,1.56
3.203,-2.21,1.31,1.01
3.236,-1.93,2.31,-0.46
3.253,-1.7,2.32,-1.19
3.269,-0.96,2.25,-1.7
3.286,0.31,2.67,-1.94
3.303,1.76,3.07,-2.26
3.319,3.05,3.14,-2.9
3.336,4.33,2.97,-3.8
3.353,5.4,2.25,-4.9
3.369,5.94,1.29,-5.97
3.386,5.92,0.53,-6.76
3.403,5.51,0.12,-7.42
3.42,4.93,0.06,-7.93
3.437,4.32,0.08,-8.2
3.453,3.67,0.28,-8.28
3.47,3.06,0.46,-8.18
3.487,2.69,0.53,-7.81
3.503,2.56,0.39,-7.15
3.52,2.08,-0.28,-6.19
3.537,1.53,-0.77,-5.08
3.553,1.26,-0.56,-4.09
3.57,0.91,-0.16,-3.32
3.587,0.52,0.52,-2.84
3.603,0.38,1.28,-2.63
3.62,0.36,1.53,-2.61
3.637,0.27,1.24,-2.7
3.653,0.15,0.83,-2.82
3.67,-0.06,0.47,-2.79
3.687,-0.34,0.21,-2.52
3.703,-0.5,0.12,-2.04
3.72,-0.73,0.32,-1.03
3.753,-0.84,0.5,-0.58
3.769,-0.85,0.71,-0.15
3.786,-0.86,0.74,0.56
3.819,-0.93,0.63,0.85
3.836,-0.84,0.28,1.4
3.853,-0.77,0,1.65
3.869,-0.73,-0.31,1.92
3.886,-0.64,-0.53,2.18
3.903,-0.48,-0.59,2.43
3.919,-0.29,-0.55,2.65
3.936,-0.14,-0.53,2.82
3.954,-0.07,-0.49,2.91
3.97,-0.02,-0.42,2.92
3.987,0.18,-0.37,2.91
4.004,0.32,-0.72,3.09
4.02,-0.02,-1.37,3.48
4.037,-0.64,-1.55,3.84
4.053,-0.99,-0.89,4.05
4.07,-1.03,0.03,4.22
4.087,-0.99,0.41,4.33
4.104,-1.18,-0.59,4.24
4.12,-1.2,-1.59,4.15
4.137,-0.79,-1.68,4.24
4.154,-0.4,-1.64,4.52
4.17,-0.2,-2.04,4.93
4.187,-0.02,-2.5,5.39
4.204,0.15,-2.44,5.72
4.22,0.19,-2.01,5.87
4.237,0.11,-1.44,5.82
4.254,-0.09,-0.92,5.57
4.27,-0.39,-0.49,5.16
4.287,-0.7,-0.21,4.59
4.304,-0.94,-0.09,4.03
4.32,-1.08,-0.11,3.65
4.337,-1.1,-0.14,3.41
4.354,-1.05,-0.02,3.26
4.37,-0.77,0.08,3.27
4.404,-0.8,-0.42,3.57
4.421,-0.81,-0.57,3.72
4.437,-0.81,-0.56,3.81
4.454,-0.86,-0.39,3.77
4.471,-0.91,-0.2,3.53
4.487,-0.9,-0.04,3.06
4.504,-0.89,0.07,2.41
4.52,-0.92,0.23,1.68
4.537,-1,0.6,0.98
4.554,-1.09,1.1,0.35
4.57,-1.22,1.47,-0.21
4.587,-1.46,1.62,-0.71
4.604,-1.77,1.85,-1.12
4.621,-1.96,2.31,-1.45
4.637,-2.01,2.66,-1.79
4.654,-2.01,2.81,-2.14
4.67,-1.88,2.93,-2.49
4.687,-1.53,3.06,-2.83
4.704,-1.07,3.14,-3.04
4.72,-0.51,3.34,-3.1
4.737,0.24,3.64,-3.11
4.754,1.22,3.73,-3.19
4.77,2.31,3.42,-3.42
4.787,3.43,2.9,-3.89
4.804,4.39,1.93,-4.54
4.82,4.99,1.04,-5.15
4.837,5.2,0.65,-5.79
4.854,5.27,0.45,-6.38
4.87,4.92,0.56,-6.85
4.887,4.35,0.81,-7.29
4.904,3.48,1.05,-7.55
4.921,2.53,1.34,-7.23
4.937,1.93,1.67,-6.4
4.954,1.81,0.69,-3.37
4.986,2.15,0.07,-1.84
5.003,2.52,0,-0.76
5.019,2.07,0.19,-0.41
5.053,0.38,-0.06,-1.53
5.069,-0.37,0.2,-1.54
5.086,-0.76,0.63,-1.13
5.103,-0.85,0.76,-0.49
5.119,-0.7,0.6,0.18
5.136,-0.51,0.32,0.75
5.153,-0.4,0.2,1.13
5.169,-0.34,0.33,1.35
5.186,-0.2,0.63,1.46
5.203,0.07,0.79,1.48
5.221,0.38,0.6,1.42
5.237,0.62,0.08,1.27
5.254,0.82,-0.46,1.11
5.271,1,-0.72,0.96
5.287,1.14,-0.74,0.87
5.304,1.17,-0.65,0.85
5.321,1.04,-0.57,0.9
5.337,0.85,-0.49,0.99
5.354,0.69,-0.42,1.05
5.371,0.58,-0.29,1.08
5.387,0.5,-0.2,1.07
5.404,0.38,-0.18,1.02
5.42,0.22,-0.14,0.92
5.437,0.18,0.02,0.76
5.458,0.4,-0.03,0.97
5.486,0.41,-0.75,1.8
5.504,0.31,-1,2.41
5.521,0.14,-0.77,2.74
5.537,-0.01,-0.48,2.96
5.554,0.01,-0.36,3.02
5.571,0.22,-0.33,2.88
5.587,0.55,-0.52,2.71
5.604,1,-0.75,2.17
5.636,0.97,-0.82,1.98
5.653,0.7,-0.64,1.81
5.669,0.54,-0.34,1.82
5.703,0.36,0.19,1.94
5.721,0.24,0.34,2
5.737,0.03,0.43,2.03
5.754,-0.25,0.49,2.03
5.771,-0.56,0.53,1.97
5.788,-0.84,0.52,1.86
5.804,-1.1,0.51,1.7
5.821,-1.31,0.53,1.51
5.837,-1.49,0.57,1.32
5.854,-1.59,0.6,1.13
5.871,-1.64,0.61,0.97
5.887,-1.64,0.64,0.85
5.904,-1.63,0.7,0.79
5.921,-1.61,0.77,0.77
5.937,-1.55,0.79,0.76
5.954,-1.46,0.77,0.77
5.971,-1.36,0.72,0.78
5.987,-1.25,0.59,0.78
6.004,-1.13,0.42,0.74
6.021,-1.02,0.29,0.66
6.037,-0.92,0.27,0.54
6.054,-0.84,0.38,0.38
6.071,-0.74,0.51,0.22
6.088,-0.59,0.59,0.09
6.104,-0.41,0.63,-0.05
6.121,-0.25,0.61,-0.19
6.137,-0.13,0.53,-0.29
6.154,-0.04,0.43,-0.32
6.171,0.08,0.33,-0.29
6.187,0.35,0.11,-0.16
6.219,0.42,0.03,-0.12
6.238,0.47,0.03,-0.17
6.254,0.47,0.13,-0.29
6.286,0.37,0.33,-0.62
6.303,0.28,0.39,-0.76
6.319,0.21,0.43,-0.84
6.336,0.19,0.42,-0.88
6.353,0.19,0.38,-0.85
6.369,0.18,0.29,-0.76
6.386,0.16,0.25,-0.65
6.403,0.17,0.36,-0.59
6.419,0.22,0.62,-0.62
6.436,0.3,0.94,-0.75
6.453,0.35,1.12,-0.96
6.469,0.4,1.12,-1.19
6.486,0.51,0.92,-1.35
6.509,0.72,0.57,-1.38
6.521,0.97,0.14,-1.25
6.538,1.19,-0.11,-0.96
6.554,1.45,-0.38,-0.65
6.571,1.67,-0.95,-0.6
6.588,1.33,-1.55,-0.75
6.604,0.55,-1.88,-1.01
6.621,-0.08,-1.94,-1.39
6.637,-0.38,-2,-1.73
6.654,-0.54,-1.81,-1.83
6.671,-0.51,-1.27,-1.63
6.687,-0.06,-0.74,-1.32
6.704,0.5,-0.36,-1.07
6.721,0.72,0.09,-0.88
6.738,0.82,0.21,-0.84
6.754,1.09,-0.03,-0.96
6.771,1.29,-0.36,-1.72
6.803,0.71,-0.53,-1.72
6.819,0.14,-0.8,-1.23
6.836,0.26,-0.98,0.02
6.869,0.7,-0.73,0.46
6.886,1,-0.01,0.74
6.903,0.77,0.33,0.58
6.936,0.38,1.15,-0.21
6.953,0.41,1.38,-0.66
6.969,0.47,1.29,-0.98
6.986,0.48,0.93,-1.13
7.004,0.4,0.46,-1.09
7.021,0.28,0.03,-0.9
7.038,0.19,-0.25,-0.62
7.054,0.14,-0.3,-0.32
7.071,0.11,-0.18,-0.08
7.087,0,0.01,0.04
7.104,-0.17,0.2,0.06
7.121,-0.35,0.36,-0.01
7.138,-0.51,0.37,-0.14
7.154,-0.66,0.23,-0.34
7.171,-0.82,0.19,-0.6
7.188,-0.97,0.26,-0.86
7.204,-1.09,0.35,-1.03
7.221,-1.06,0.16,-0.84
7.238,-0.69,-0.42,-0.32
7.254,-0.12,-1.08,0.23
7.271,0.37,-1.44,0.72
7.288,0.71,-1.47,1.05
7.304,0.76,-1.21,1.21
7.321,0.69,-0.79,1.23
7.338,0.66,-0.12,1.13
7.354,0.84,0.49,0.99
7.371,1.12,0.74,0.88
7.388,1.21,0.66,0.71
7.404,0.75,0.03,0.3
7.421,0.5,-0.22,0.15
7.453,0.32,-0.25,0.06
7.469,0.18,0.21,0.1
7.486,0.18,0.65,0.08
7.505,0.19,1.04,0.06
7.521,0.19,1.28,0.06
7.538,0.21,1.34,0.07
7.559,0.19,1.3,0.09
7.571,0.16,1.17,0.11
7.588,0.09,0.96,0.13
7.604,-0.09,0.61,0.14
7.623,-0.39,0.07,0.08
7.638,-0.66,-0.38,-0.01
