time,ax,ay,az,aT
0.0290,0.1430,0.0460,-0.3110,0.345
0.0290,0.1380,-0.0940,-0.6200,0.642
0.0300,0.0660,-0.1400,-0.6860,0.703
0.0330,0.0370,-0.0670,-0.5960,0.601
0.0420,-0.0100,-0.1380,-0.3280,0.356
0.0530,0.0740,-0.2100,-0.0560,0.230
0.0610,0.1290,-0.2910,0.0750,0.327
0.0720,0.0900,-0.3240,0.0970,0.350
0.0820,0.0600,-0.2320,-0.0100,0.240
0.0940,0.0250,-0.0830,-0.2620,0.276
0.1010,-0.0090,-0.0050,-0.4780,0.478
0.1140,-0.0990,0.0410,-0.4950,0.506
0.1230,-0.2420,0.0460,-0.3610,0.437
0.1320,-0.3760,0.1710,-0.0880,0.422
0.1430,-0.4270,0.2220,0.0760,0.487
0.1510,-0.3350,0.1780,0.1900,0.424
0.1620,-0.1200,-0.0740,0.3700,0.396
0.1720,-0.2820,-0.3880,0.3500,0.594
0.1810,-0.1890,-0.2970,0.2650,0.441
0.1910,0.0070,-0.0050,0.1450,0.145
0.2160,-0.0160,0.0710,0.0310,0.079
0.2170,0.0430,-0.0450,-0.0610,0.087
0.2220,0.0990,-0.1960,-0.0690,0.230
0.2320,0.1670,-0.3040,0.0570,0.352
0.2420,0.2640,-0.3480,0.1050,0.449
0.2520,0.3460,-0.3300,-0.0140,0.478
0.2620,0.4680,-0.2300,-0.2470,0.577
0.2720,0.5510,-0.1430,-0.6340,0.852
0.2820,0.5640,-0.1990,-0.9470,1.120
0.2930,0.9810,-0.6540,-1.0750,1.596
0.3020,0.7100,-1.3330,-0.7590,1.690
0.3160,0.3080,-1.2770,-0.0770,1.316
0.3220,0.7690,-0.8430,0.2120,1.161
0.3320,1.3240,-0.8370,-0.6290,1.688
0.3440,1.2700,-1.1290,-1.3200,2.152
0.3520,0.8610,-1.5050,-0.9290,1.967
0.3620,0.6710,-1.4600,0.0750,1.609
0.3740,0.3560,-1.7140,0.8990,1.968
0.3820,0.3070,-1.5050,1.5100,2.154
0.3920,0.4690,-1.4840,1.5960,2.229
0.4030,0.5270,-1.6080,1.3910,2.190
0.4140,0.7040,-1.6970,1.2100,2.200
0.4230,0.9940,-1.6910,0.8580,2.141
0.4320,1.0680,-1.7020,0.5520,2.084
0.4430,1.0780,-1.7170,0.4660,2.080
0.4520,1.2700,-1.5840,0.3850,2.066
0.4620,1.3770,-1.1280,0.1930,1.790
0.4730,0.9540,-0.8280,-0.1960,1.278
0.4820,0.3380,-0.8320,-0.8360,1.227
0.4920,0.2430,-0.7200,-1.2090,1.428
0.5030,0.4950,0.1650,-1.6340,1.715
0.5160,-0.0270,1.5300,-1.9710,2.495
0.5230,-3.5060,3.6720,-1.6650,5.343
0.5320,-7.6260,5.8860,-1.1540,9.702
0.5430,-6.7470,3.2560,-0.0010,7.492
0.5530,-1.9900,1.0700,-0.2840,2.277
0.5620,1.4380,0.6740,-0.0630,1.589
0.5720,1.8620,0.0550,0.9070,2.072
0.5830,1.7800,-1.0340,1.5400,2.571
0.5920,2.3010,-2.0420,2.6440,4.056
0.6020,2.9230,-1.3310,3.1960,4.531
0.6120,1.9350,-0.9430,3.0120,3.702
0.6230,0.4510,-1.7630,2.0360,2.731
0.6310,0.4750,-2.9190,0.9630,3.110
0.6420,1.5600,-2.3500,0.9810,2.986
0.6520,1.7640,-1.5590,1.3800,2.729
0.6620,1.8170,-1.6120,0.2970,2.447
0.6740,2.2410,-1.7870,-1.7490,3.358
0.6830,1.3440,-1.4280,-2.1460,2.907
0.6920,0.9480,-1.1590,-2.6140,3.012
0.7030,1.3670,-1.1960,-2.4530,3.052
0.7150,1.9280,-1.2370,-2.6300,3.488
0.7250,2.1870,-1.8670,-1.8930,3.443
0.7320,2.1020,-2.7220,-0.9760,3.575
0.7430,1.1990,-2.5020,0.3370,2.795
0.7520,0.5860,-2.0460,1.2980,2.493
0.7620,0.3360,-1.7390,1.7180,2.467
0.7730,-0.1010,-1.4090,1.6430,2.167
0.7820,-1.9760,-0.5170,1.0930,2.317
0.7970,-4.5510,0.9370,0.1790,4.650
0.8020,-3.5790,1.0530,-0.5630,3.773
0.8120,-2.5850,0.6220,-1.2810,2.951
0.8230,-1.6340,0.7790,-1.4160,2.298
0.8320,-0.7890,1.1300,-1.5580,2.080
0.8420,0.1160,1.0590,-1.5700,1.897
0.8530,0.3560,0.9710,-1.2840,1.649
0.8620,0.1550,0.4650,-0.8580,0.988
0.8720,0.1770,-0.3740,-0.7000,0.813
0.8820,-0.3260,-0.8890,-1.2850,1.596
0.8930,-0.5680,-0.1160,-2.9610,3.017
0.9020,-1.3590,-0.1400,-4.2650,4.478
0.9130,-1.9870,-0.6190,-4.4370,4.901
0.9220,-1.4970,-0.5170,-3.8360,4.150
0.9320,-0.6120,-0.2190,-2.5960,2.676
0.9430,-0.3040,0.7940,-1.0190,1.327
0.9520,-0.1110,1.4600,0.3620,1.508
0.9620,0.0030,0.7580,0.4880,0.902
0.9720,0.2490,-0.2610,-0.4250,0.557
0.9820,-0.1060,-0.6110,-1.0840,1.249
0.9930,-0.2510,-1.1640,-0.6800,1.371
1.0030,-0.5290,-2.3950,0.2920,2.470
1.0120,-0.7540,-3.3430,0.5540,3.471
1.0230,-1.3670,-3.0960,0.5210,3.424
1.0310,-2.4860,-1.9910,0.8940,3.308
1.0410,-2.1250,-0.8410,0.7870,2.417
1.0530,-1.9340,-0.3410,0.3570,1.996
1.0620,-2.5870,-0.3480,-0.4130,2.643
1.0720,-3.4550,-0.2190,-0.0410,3.462
1.0830,-3.4360,0.4730,-0.8930,3.582
1.0920,-3.1250,1.1580,-1.9210,3.847
1.1130,-3.2370,1.2970,-1.8210,3.934
1.1130,-2.4090,0.8860,-1.3500,2.900
1.1270,-2.8170,0.3410,-0.5250,2.886
1.1320,-1.8010,0.4180,-0.6170,1.949
1.1420,-1.3800,1.5460,-0.9620,2.285
1.1510,-2.1040,2.8640,-1.5800,3.889
1.1630,-1.8600,1.4400,-1.4940,2.787
1.1720,0.5030,-1.9660,0.0190,2.029
1.1820,0.6470,-2.0950,3.5250,4.151
1.1920,0.0260,-0.5200,1.6990,1.777
1.2080,1.0300,0.4510,0.4810,1.223
1.2110,-1.5010,1.3250,0.9490,2.216
1.2240,-0.7860,2.2660,1.0830,2.632
1.2310,0.0870,3.3050,0.6810,3.376
1.2430,0.8870,3.5760,-0.4180,3.708
1.2540,1.5580,3.6010,-0.8390,4.012
1.2630,1.9310,4.3990,-1.4460,5.017
1.2710,2.4280,4.7070,-2.2140,5.740
1.2830,2.4160,4.3770,-2.4560,5.570
1.2930,2.1030,1.6620,-1.9730,3.328
1.3020,0.2870,-0.6800,-0.8270,1.108
1.3110,-2.1850,-1.4770,0.5970,2.704
1.3230,-3.4010,-1.6800,1.5000,4.079
1.3320,-3.3980,-1.5930,1.2830,3.966
1.3420,-2.9480,-1.4210,0.5750,3.323
1.3540,-2.2800,-1.3720,0.4200,2.694
1.3620,-1.2940,-1.3100,0.5200,1.913
1.3710,-0.4410,-0.9040,0.5980,1.170
