time,wx,wy,wz
0.019,-1.05,0.12,-0.59
0.020,-1.01,0.11,-0.58
0.020,-0.96,0.10,-0.58
0.021,-0.92,0.09,-0.57
0.021,-0.88,0.08,-0.56
0.021,-0.84,0.06,-0.56
0.022,-0.81,0.04,-0.55
0.022,-0.78,0.03,-0.54
0.022,-0.75,0.01,-0.53
0.023,-0.72,0.00,-0.52
0.023,-0.70,-0.01,-0.52
0.023,-0.68,-0.02,-0.51
0.026,-0.65,-0.02,-0.50
0.030,-0.63,-0.02,-0.50
0.031,-0.60,-0.02,-0.50
0.047,-0.57,-0.01,-0.49
0.048,-0.54,0.01,-0.49
0.049,-0.52,0.02,-0.50
0.050,-0.49,0.04,-0.49
0.050,-0.47,0.05,-0.50
0.051,-0.44,0.01,-0.51
0.052,-0.42,-0.07,-0.52
0.052,-0.40,-0.10,-0.52
0.053,-0.37,-0.08,-0.52
0.061,-0.34,-0.05,-0.53
0.062,-0.32,-0.03,-0.53
0.062,-0.30,-0.04,-0.55
0.078,-0.28,-0.05,-0.57
0.079,-0.26,-0.08,-0.61
0.080,-0.25,-0.10,-0.65
0.081,-0.25,-0.11,-0.70
0.081,-0.24,-0.11,-0.73
0.082,-0.23,-0.09,-0.76
0.083,-0.22,-0.07,-0.78
0.083,-0.21,-0.04,-0.80
0.084,-0.21,-0.03,-0.81
0.103,-0.20,-0.01,-0.82
0.103,-0.18,-0.01,-0.84
0.104,-0.17,-0.01,-0.86
0.104,-0.15,-0.01,-0.87
0.105,-0.13,-0.02,-0.88
0.105,-0.11,-0.02,-0.90
0.105,-0.08,-0.02,-0.91
0.106,-0.06,-0.02,-0.93
0.106,-0.03,-0.03,-0.94
0.110,0.00,-0.06,-0.94
0.111,0.03,-0.10,-0.95
0.113,0.05,-0.14,-0.94
0.117,0.06,-0.17,-0.93
0.118,0.08,-0.18,-0.94
0.121,0.09,-0.17,-0.94
0.123,0.11,-0.15,-0.95
0.126,0.12,-0.13,-0.96
0.128,0.15,-0.10,-0.97
0.134,0.17,-0.08,-0.98
0.136,0.20,-0.05,-0.98
0.137,0.23,-0.03,-0.98
0.138,0.27,0.00,-0.98
0.141,0.30,0.03,-0.98
0.143,0.34,0.05,-0.98
0.146,0.38,0.08,-0.98
0.148,0.42,0.11,-0.97
0.151,0.46,0.15,-0.95
0.154,0.51,0.21,-0.94
0.156,0.55,0.27,-0.92
0.158,0.60,0.34,-0.90
0.161,0.65,0.41,-0.87
0.180,0.69,0.47,-0.85
0.181,0.74,0.51,-0.83
0.182,0.78,0.55,-0.81
0.183,0.83,0.59,-0.79
0.183,0.87,0.63,-0.78
0.184,0.92,0.67,-0.76
0.184,0.97,0.71,-0.74
0.189,1.01,0.74,-0.73
0.189,1.06,0.75,-0.71
0.190,1.12,0.72,-0.68
0.191,1.18,0.65,-0.62
0.191,1.25,0.59,-0.57
0.198,1.31,0.53,-0.51
0.199,1.37,0.48,-0.45
0.199,1.43,0.45,-0.39
0.200,1.49,0.42,-0.34
0.205,1.55,0.39,-0.29
0.206,1.60,0.36,-0.23
0.208,1.66,0.31,-0.18
0.211,1.71,0.26,-0.13
0.213,1.76,0.23,-0.08
0.216,1.82,0.21,-0.03
0.218,1.87,0.20,0.02
0.221,1.92,0.21,0.05
0.224,1.98,0.21,0.08
0.226,2.03,0.20,0.10
0.228,2.07,0.17,0.09
0.232,2.07,0.09,0.02
0.234,2.00,-0.04,-0.12
0.236,1.86,-0.20,-0.33
0.238,1.66,-0.32,-0.58
0.241,1.43,-0.31,-0.81
0.243,1.22,-0.11,-1.00
0.245,1.05,0.25,-1.09
0.248,0.93,0.63,-1.13
0.251,0.83,0.93,-1.13
0.253,0.76,1.10,-1.11
0.255,0.70,1.13,-1.08
0.258,0.64,1.07,-1.06
0.262,0.61,0.96,-1.04
0.263,0.58,0.83,-1.02
0.267,0.57,0.73,-1.01
0.279,0.55,0.66,-1.00
0.282,0.52,0.62,-1.01
0.283,0.48,0.63,-1.03
0.284,0.41,0.66,-1.07
0.285,0.32,0.70,-1.13
0.286,0.20,0.75,-1.20
0.286,0.06,0.80,-1.27
0.287,-0.10,0.83,-1.34
0.298,-0.26,0.86,-1.39
0.299,-0.43,0.88,-1.44
0.299,-0.58,0.88,-1.48
0.300,-0.73,0.87,-1.50
0.301,-0.86,0.84,-1.51
0.301,-0.97,0.79,-1.50
0.312,-1.07,0.72,-1.50
0.313,-1.15,0.63,-1.48
0.314,-1.22,0.51,-1.46
0.315,-1.28,0.38,-1.44
0.315,-1.33,0.24,-1.42
0.316,-1.36,0.09,-1.40
0.319,-1.39,-0.05,-1.37
0.321,-1.41,-0.19,-1.33
0.323,-1.42,-0.33,-1.28
0.326,-1.42,-0.49,-1.21
0.328,-1.42,-0.66,-1.13
0.333,-1.42,-0.83,-1.05
0.333,-1.41,-1.00,-0.95
0.336,-1.39,-1.15,-0.83
0.338,-1.36,-1.29,-0.72
0.341,-1.33,-1.42,-0.60
0.343,-1.29,-1.53,-0.48
0.346,-1.24,-1.63,-0.37
0.348,-1.20,-1.73,-0.26
0.351,-1.15,-1.81,-0.16
0.353,-1.10,-1.87,-0.07
0.356,-1.06,-1.92,0.00
0.358,-1.02,-1.96,0.07
0.360,-1.00,-1.93,0.11
0.363,-1.04,-1.78,0.14
0.379,-1.12,-1.62,0.16
0.381,-1.17,-1.55,0.16
0.382,-1.19,-1.57,0.15
