time,ax,ay,az,atotal
0.439,0.25,0.1,-0.02,0.27
0.449,0.28,0.03,0.04,0.29
0.465,0.29,-0.01,0.14,0.32
0.47,0.33,-0.08,0.2,0.4
0.479,0.38,-0.13,0.21,0.45
0.489,0.42,-0.16,0.21,0.5
0.499,0.53,-0.25,0.24,0.63
0.509,0.64,-0.33,0.2,0.75
0.519,0.75,-0.41,0.34,0.92
0.529,0.93,-0.45,0.47,1.14
0.539,0.73,-0.47,0.42,0.96
0.549,0.37,-0.49,0.41,0.74
0.559,0.17,-0.57,0.58,0.83
0.569,0.16,-0.65,0.73,0.99
0.579,0.31,-0.74,0.58,0.99
0.589,0.53,-0.83,0.39,1.06
0.599,0.72,-0.84,0.41,1.18
0.609,0.62,-0.73,0.44,1.05
0.619,0.2,-0.54,0.6,0.84
0.632,-0.02,-0.38,0.6,0.71
0.639,0.01,-0.28,0.3,0.41
0.649,0.1,-0.24,-0.01,0.26
0.659,0.17,-0.22,-0.3,0.41
0.669,0.19,-0.21,-0.63,0.69
0.679,0.26,-0.25,-0.84,0.92
0.689,0.41,-0.28,-0.79,0.93
0.699,0.52,-0.28,-0.63,0.87
0.709,0.54,-0.29,-0.57,0.83
0.719,0.6,-0.28,-0.53,0.85
0.729,0.67,-0.27,-0.79,1.07
0.739,0.67,-0.2,-1.22,1.4
0.749,0.51,-0.13,-1.59,1.67
0.759,0.63,-0.05,-1.68,1.8
0.769,0.68,0,-1.61,1.75
0.779,0.28,0.09,-1.43,1.46
0.789,0.1,0.13,-1,1.01
0.799,0.27,0.09,-0.64,0.7
0.809,0.31,0.07,-0.49,0.58
0.819,0.07,0.16,-0.66,0.69
0.829,-0.09,0.37,-0.97,1.04
0.839,-0.21,0.49,-0.82,0.98
0.849,-0.25,0.66,-0.49,0.86
0.859,-0.22,0.91,-0.37,1.01
0.869,-0.23,1.13,-0.45,1.24
0.879,-0.29,1.19,-0.56,1.35
0.889,-0.24,1.19,-0.5,1.31
0.899,0.03,1.26,-0.42,1.32
0.909,0.38,1.26,-0.52,1.41
0.919,0.48,1.08,-0.48,1.27
0.929,0.49,0.86,-0.48,1.1
0.939,0.52,0.7,-0.64,1.08
0.949,0.57,0.59,-0.69,1.07
0.959,0.64,0.57,-0.57,1.03
0.969,0.96,0.7,-0.3,1.22
0.979,1.34,1,-0.07,1.67
0.989,1.29,1.27,-0.03,1.81
0.999,1.22,1.47,0.1,1.91
1.008,1.21,1.5,0.02,1.93
1.019,1.13,1.29,-0.14,1.72
1.029,1.12,1.06,-0.31,1.57
1.039,1.11,0.91,-0.57,1.54
1.048,1.15,0.81,-0.83,1.63
1.058,1.25,0.73,-1.04,1.79
1.068,1.34,0.74,-1.2,1.95
1.078,1.45,0.8,-1.33,2.13
1.088,1.43,0.86,-1.5,2.24
1.098,1.32,0.94,-1.81,2.43
1.108,1.29,0.97,-2.32,2.82
