time,wx,wy,wz
0.313,-0.65,-0.19,1.87
0.33,-0.49,-0.07,1.94
0.346,-0.3,0.03,1.98
0.363,-0.1,0.08,1.94
0.38,0.12,0.12,1.83
0.396,0.33,0.14,1.65
0.413,0.52,0.14,1.46
0.43,0.69,0.08,1.34
0.446,0.8,-0.01,1.28
0.463,0.83,-0.12,1.27
0.48,0.72,-0.25,1.29
0.496,0.49,-0.37,1.3
0.513,0.24,-0.49,1.31
0.53,0,-0.58,1.29
0.546,-0.17,-0.66,1.26
0.563,-0.29,-0.7,1.21
0.58,-0.36,-0.67,1.11
0.596,-0.4,-0.61,0.99
0.613,-0.42,-0.52,0.85
0.63,-0.45,-0.41,0.73
0.646,-0.51,-0.29,0.62
0.663,-0.6,-0.18,0.54
0.68,-0.73,-0.09,0.5
0.696,-0.91,-0.01,0.5
0.713,-1.12,0.05,0.51
0.73,-1.39,0.05,0.46
0.763,-1.43,0.09,0.42
0.78,-1.2,0.68,0.46
0.796,-1.12,1.01,0.53
0.829,-1.25,1.2,0.71
0.846,-1.37,1.16,0.78
0.863,-1.45,1.11,0.84
0.88,-1.47,1.11,0.91
0.896,-1.42,1.16,0.98
0.913,-1.34,1.21,1
0.93,-1.23,1.23,1.03
0.946,-1.11,1.21,1.08
0.963,-0.98,1.19,1.18
0.98,-0.83,1.17,1.32
0.996,-0.69,1.1,1.46
1.013,-0.54,1.02,1.59
1.03,-0.33,0.97,1.73
1.046,-0.08,0.91,1.88
1.063,0.18,0.85,2.03
1.08,0.44,0.83,2.13
1.096,0.7,0.79,2.17
1.113,0.94,0.69,2.12
1.13,1.11,0.6,2
1.146,1.21,0.57,1.83
1.163,1.32,0.59,1.61
1.18,1.47,0.7,1.35
1.196,1.56,0.89,1.12
1.213,1.53,1.09,0.88
1.23,1.43,1.26,0.68
1.246,1.27,1.4,0.51
1.263,1.07,1.56,0.39
1.28,0.95,1.63,0.19
1.296,1.16,1.57,-0.33
1.313,1.49,1.38,-1
1.33,1.7,1.03,-1.46
1.346,1.59,0.69,-1.56
1.363,1.16,0.38,-1.36
1.38,0.59,0.76,-0.67
1.413,0.3,1.45,-0.08
1.43,-0.06,1.46,0.18
1.446,-0.4,1.37,0.42
1.463,-0.63,1.33,0.66
1.48,-0.75,1.4,0.9
1.496,-0.87,1.51,1.12
1.513,-1.07,1.63,1.32
1.53,-1.24,1.72,1.53
1.546,-1.25,1.89,1.69
1.563,-1.17,2,1.79
1.58,-1.07,1.95,1.84
1.596,-0.96,1.77,1.83
1.613,-0.81,1.42,1.72
1.63,-0.65,0.9,1.51
1.646,-0.52,0.24,1.17
1.663,-0.45,-0.46,0.68
1.68,-0.36,-1.12,0.05
1.696,-0.3,-1.72,-0.6
1.713,-0.41,-2.27,-1.18
1.73,-0.67,-2.76,-1.69
1.746,-0.95,-3.18,-2.16
1.763,-1.24,-3.55,-2.61
1.78,-1.56,-3.93,-3.04
1.796,-1.94,-4.39,-3.43
1.813,-2.38,-4.8,-3.76
1.83,-2.8,-4.97,-4.03
1.846,-3.02,-4.79,-4.25
1.863,-3.04,-4.4,-4.35
1.879,-3.12,-3.95,-4.25
1.896,-3.16,-3.35,-3.92
1.913,-2.98,-2.6,-3.45
1.93,-2.73,-1.86,-2.88
1.946,-2.55,-1.27,-2.32
1.963,-2.12,-0.49,-1.38
1.996,-1.77,-0.26,-0.87
2.013,-0.92,0.11,0.5
2.03,-0.58,0.29,1.32
2.063,0.06,0.76,2.72
2.08,0.36,0.95,3.25
2.096,0.57,1.1,3.65
2.113,0.74,1.23,3.9
2.13,0.9,1.36,4
2.146,1.08,1.45,3.97
2.163,1.22,1.51,3.8
2.18,1.37,1.63,3.56
2.196,1.63,1.84,3.39
2.213,2.01,2.18,3.4
2.23,2.41,2.62,3.62
2.246,2.7,3,3.99
2.263,2.89,3.16,4.4
2.279,2.95,3.03,4.76
2.296,2.93,2.73,4.95
2.313,2.99,2.37,4.78
2.33,3.21,2.17,4.25
2.346,3.45,2.07,3.61
2.363,3.46,1.83,3.02
2.38,3.25,1.49,2.52
2.396,3.09,1.35,2.1
2.413,3,1.42,1.67
2.43,2.77,1.33,1.07
2.446,2.48,0.91,0.26
2.463,2.26,0.23,-0.73
2.48,1.98,-0.65,-1.84
2.496,1.48,-1.68,-2.89
2.513,0.76,-2.73,-3.67
2.53,-0.03,-3.55,-4.04
2.546,-0.67,-4.04,-4.18
2.563,-1.18,-4.64,-4.32
2.58,-1.75,-5.7,-4.53
2.596,-2.97,-7.92,-5.02
2.613,-3.62,-8.49,-5.02
2.646,-4.28,-8.49,-4.68
2.663,-4.65,-5.93,-2.96
2.68,-4.05,-3.9,-1.86
2.696,-4.16,-3.38,-0.95
2.713,-4.01,-3.18,-0.47
2.73,-3.64,-3.06,-0.32
2.746,-3.22,-2.95,-0.26
2.763,-2.44,-2.38,-0.17
2.78,-1.57,-1.76,0.11
2.796,-1.01,-1.42,0.45
2.813,-0.6,-1.14,0.77
2.829,-0.21,-0.84,1.08
2.846,0.11,-0.49,1.45
2.863,0.41,-0.05,1.9
2.88,0.62,0.49,2.43
2.896,0.73,1.17,3.02
2.913,0.9,1.94,3.53
2.93,1.31,2.76,3.9
2.946,1.99,3.32,4.16
2.963,2.74,3.48,4.26
2.98,3.73,3.47,4.34
2.996,4.87,3.22,4.38
3.013,5.61,2.62,4.39
3.03,5.85,2.02,4.19
3.046,5.85,2,3.73
3.063,5.68,2.65,3.03
3.08,5.21,3.57,2.25
3.096,4.79,4.55,1.51
3.113,4.57,5.23,0.95
3.13,4.43,5.35,0.64
3.146,4.18,4.88,0.53
3.163,3.77,3.97,0.49
3.18,3.3,2.94,0.3
3.196,2.21,1.08,-1.08
3.23,1.53,-0.06,-2.05
3.246,0.11,-1.92,-3.24
3.263,-0.62,-2.38,-3.44
3.296,-1.82,-3.14,-3.76
3.313,-2.31,-3.79,-4.09
3.33,-2.84,-4.68,-4.54
3.346,-3.45,-5.56,-4.92
3.363,-4.16,-6.26,-4.96
3.38,-4.94,-6.6,-4.51
3.396,-5.52,-6.09,-3.61
3.413,-5.73,-4.72,-2.44
3.43,-5.69,-3.49,-1.62
3.446,-5.47,-3,-1.33
3.463,-5,-2.98,-1.42
3.48,-4.38,-3.09,-1.68
3.496,-3.66,-3.06,-1.92
3.513,-2.88,-2.75,-2.02
3.53,-2.13,-2.29,-1.96
3.546,-1.48,-1.79,-1.74
3.563,-0.93,-1.24,-1.39
3.58,-0.41,-0.59,-1.01
3.596,0.14,0.1,-0.6
3.613,0.74,0.68,-0.22
3.63,1.31,1.06,0.17
3.646,1.78,1.29,0.58
3.663,2.16,1.53,0.9
3.68,2.6,2.06,1.11
3.696,3.34,3.04,1.54
3.713,3.99,3.94,2.13
3.729,4.01,4.4,2.63
3.746,3.74,4.52,3.01
3.763,3.48,4.62,3.21
3.779,3.29,4.81,3.35
3.796,3.18,4.95,3.39
3.813,3.26,5.19,3.37
3.83,4.62,5.93,3.05
3.846,5.73,5.26,2.88
3.88,7.01,4.01,2.73
3.896,9.04,1.62,2.55
3.913,9.59,0.67,2.47
3.93,9.58,0.05,2.32
3.946,9.11,0.05,1.97
3.963,8.44,0.46,1.44
3.979,7.65,0.79,0.75
3.996,6.79,0.92,-0.03
4.013,5.92,0.96,-0.78
4.029,5.05,0.87,-1.39
4.046,4.25,0.46,-1.79
4.063,3.67,-0.18,-2.06
4.079,3.36,-0.77,-2.4
4.096,3.24,-1.27,-2.79
4.113,3.12,-1.61,-3.32
4.129,3,-1.71,-3.86
4.146,1.76,-1.22,-3.68
4.163,-0.14,0.3,-2.94
4.18,-0.04,0.91,-3.35
4.196,0,0.14,-3.87
4.213,-0.91,-0.89,-3.96
4.23,-1.69,-1.46,-3.77
4.246,-1.55,-1.04,-3.45
4.263,-0.98,-0.47,-3.06
4.28,-0.96,-0.54,-2.66
4.296,-1.01,-0.8,-2.31
4.313,-0.76,-0.84,-2.09
4.33,-0.44,-0.85,-1.95
4.346,-0.32,-0.89,-1.83
4.363,-0.31,-0.81,-1.7
4.38,-0.3,-0.63,-1.55
4.396,-0.24,-0.31,-1.37
4.413,-0.08,0.23,-1.08
4.43,0.84,1.94,-0.27
4.463,1.26,2.48,0.31
4.48,1.46,2.65,1.3
4.496,1.5,2.61,1.58
4.53,1.38,2.7,2.04
4.546,1.33,2.93,2.4
4.563,1.41,3.33,2.87
4.58,1.48,3.72,3.46
4.596,1.52,3.94,4.1
