time,ax,ay,az,aT
0.0160,0.7800,0.0830,-0.4880,0.924
0.0180,0.5040,-0.0830,-0.6310,0.812
0.0240,0.0680,-0.1240,-0.8200,0.832
0.0350,-0.3720,0.0460,-0.9370,1.009
0.0530,-0.6480,0.2990,-0.8230,1.089
0.0540,-0.6950,0.4840,-0.6380,1.060
0.0640,-0.6230,0.4180,-0.5370,0.923
0.0740,-0.5640,0.2660,-0.5290,0.818
0.0850,-0.6120,0.2970,-0.3600,0.770
0.0940,-0.6800,0.4230,-0.0640,0.803
0.1040,-0.8200,0.5440,0.1010,0.989
0.1140,-0.9100,0.5390,0.1660,1.071
0.1240,-0.9040,0.5230,0.3230,1.093
0.1340,-0.8800,0.6240,0.4690,1.176
0.1440,-0.8750,0.7470,0.5060,1.257
0.1540,-0.7510,0.6900,0.4380,1.110
0.1670,-0.4840,0.3920,0.2630,0.676
0.1750,-0.1900,0.0750,-0.0700,0.216
0.1840,0.0780,-0.1900,-0.6060,0.640
0.1940,0.2810,-0.3930,-1.1720,1.268
0.2040,0.4030,-0.6080,-1.9530,2.085
0.2140,0.5170,-0.7940,-2.8880,3.039
0.2260,0.6810,-0.6550,-3.0810,3.223
0.2340,1.0180,-0.5320,-2.8050,3.031
0.2440,1.5810,-0.6130,-2.7360,3.219
0.2540,2.1140,-0.9240,-2.5470,3.437
0.2660,2.4830,-1.3690,-2.2830,3.640
0.2740,2.6360,-1.7390,-2.1130,3.800
0.2840,2.5360,-2.0020,-2.1440,3.878
0.3010,2.3510,-2.2620,-2.2540,3.965
0.3050,2.1830,-2.5640,-2.1750,4.009
0.3140,1.9610,-2.6150,-1.7420,3.704
0.3280,1.7340,-2.4100,-1.2750,3.231
0.3340,1.4940,-2.1710,-1.2460,2.915
0.3440,1.2150,-2.1860,-1.6290,2.985
0.3550,0.7810,-2.4680,-2.3690,3.509
0.3710,0.4950,-2.6800,-3.2030,4.206
0.3740,0.5530,-2.4910,-4.0040,4.748
0.3850,0.6870,-2.2710,-4.5650,5.145
0.3940,0.7280,-2.2720,-4.7970,5.358
0.4060,0.6880,-2.4580,-4.7350,5.379
0.4140,0.5470,-2.8020,-4.3970,5.243
0.4260,0.4700,-3.1920,-3.4430,4.718
0.4340,0.0150,-3.0890,-2.1260,3.750
0.4460,0.3300,-3.1740,-1.3710,3.473
0.4550,1.0360,-3.4110,-0.9750,3.696
0.4640,1.2950,-3.1730,-0.8090,3.521
0.4920,1.7050,-2.6870,-0.2190,3.190
0.4920,1.6830,-2.1490,0.6350,2.802
0.4950,1.6290,-1.9790,0.1090,2.566
0.5070,1.2360,-1.6150,-0.5780,2.114
0.5210,0.5090,-1.5590,-1.1350,1.994
0.5250,-0.4650,-1.5680,-1.4740,2.202
0.5420,-1.0890,-1.3980,-1.3230,2.211
0.5490,-1.2360,-1.1830,-0.3450,1.745
0.5560,-1.0010,-1.0560,1.0040,1.768
0.5720,-0.7380,-0.9200,2.0710,2.383
0.5750,-0.6830,-0.7930,2.8310,3.018
0.6050,-0.6810,-0.6390,3.8060,3.919
0.6050,-0.5230,-0.4780,4.4910,4.547
0.6070,-0.4130,-0.2800,4.6010,4.628
0.6150,-0.4500,0.1250,4.4020,4.427
0.6250,-0.7320,0.6940,4.2080,4.327
0.6350,-0.7780,0.4950,4.7630,4.851
0.6500,-1.1010,0.4940,2.9690,3.205
0.6550,-2.4070,1.9100,1.1810,3.292
0.6660,-3.8810,2.5360,-0.2650,4.644
0.6910,-5.3210,2.4900,-0.8670,5.938
0.6930,-6.4240,2.2890,0.2580,6.825
0.6950,-7.0600,2.7520,1.8840,7.808
0.7060,-6.8770,3.7420,3.2340,8.471
0.7160,-6.1320,5.3500,4.3750,9.239
0.7410,-4.7800,5.4600,5.9710,9.397
0.7420,-3.3060,4.3940,6.9490,8.861
0.7450,-2.9710,4.2620,7.6040,9.209
0.7580,-4.0160,3.9920,9.0050,10.637
0.7650,-5.5680,3.9390,10.9110,12.867
0.7840,-6.0120,4.5230,12.2790,14.401
0.7840,-4.7840,4.6520,13.5400,15.095
0.7950,-4.1200,4.0620,14.9910,16.069
0.8050,-5.3070,3.2720,15.9540,17.129
0.8220,-6.8980,1.9380,15.3680,16.956
0.8280,-7.3790,0.8390,13.3760,15.299
0.8360,-6.8020,0.6120,10.3530,12.403
0.8460,-5.6070,1.0100,7.2090,9.188
0.8550,-4.5470,1.3920,5.2460,7.080
0.8640,-3.9480,0.9510,4.3290,5.936
0.8870,-3.5070,0.3170,3.6650,5.082
0.8880,-3.3180,-0.4150,3.3690,4.747
0.8960,-3.2130,-1.1410,3.4770,4.870
0.9040,-2.1150,-1.9220,3.6740,4.655
0.9160,-0.9520,-1.9910,3.5930,4.217
0.9250,-0.1630,-1.6020,2.3490,2.848
0.9360,-0.0620,-1.3480,1.1340,1.763
0.9440,-0.0510,-1.7620,0.4390,1.817
0.9550,0.7900,-2.1150,0.4150,2.296
0.9660,1.9270,-2.4850,0.0520,3.145
0.9810,2.6470,-2.8960,-0.5310,3.959
0.9840,3.1050,-3.3730,-1.4680,4.814
0.9960,2.8010,-3.8510,-2.7460,5.497
1.0060,1.9960,-4.5670,-3.4820,6.080
1.0150,1.5410,-5.4980,-3.7780,6.847
1.0270,1.2130,-6.2740,-3.2110,7.152
1.0360,1.7260,-6.4110,-3.0450,7.304
1.0450,1.8450,-6.3970,-3.1470,7.364
1.0550,1.5410,-6.4630,-3.8310,7.670
1.0670,1.0780,-6.6220,-4.4120,8.030
1.0900,1.0770,-6.9010,-4.3180,8.212
1.0910,1.3310,-7.2580,-3.9750,8.382
1.0950,1.7350,-8.2560,-4.7210,9.667
1.1060,2.3020,-8.0510,-5.2080,9.861
1.1150,2.4160,-8.3960,-5.7200,10.443
1.1260,2.8600,-9.2250,-6.0400,11.391
1.1350,3.4360,-9.8260,-5.8170,11.925
1.1440,3.0940,-9.8750,-5.2080,11.585
1.1570,1.9110,-9.2850,-4.9320,10.686
1.1640,1.5200,-8.3900,-4.7580,9.764
1.1890,3.2610,-8.1400,-5.0300,10.109
1.1890,5.2220,-8.8390,-4.6350,11.264
1.1950,4.5370,-9.4520,-2.2810,10.730
1.2060,3.1870,-9.3830,-0.2460,9.913
1.2150,3.4910,-9.2410,0.6990,9.903
1.2260,4.6750,-9.7580,0.7350,10.845
1.2350,5.7000,-10.4000,0.4120,11.867
1.2450,5.6950,-10.4750,0.6050,11.938
1.2540,4.8650,-10.5510,1.5410,11.720
