time,wx,wy,wz
0.024,0.28,0.31,-0.35
0.025,0.31,0.31,-0.36
0.026,0.34,0.31,-0.36
0.027,0.36,0.31,-0.37
0.027,0.38,0.30,-0.38
0.028,0.40,0.30,-0.39
0.029,0.41,0.29,-0.40
0.029,0.42,0.29,-0.41
0.029,0.43,0.30,-0.42
0.030,0.43,0.30,-0.43
0.030,0.43,0.31,-0.45
0.031,0.42,0.33,-0.45
0.031,0.41,0.34,-0.46
0.031,0.40,0.35,-0.46
0.032,0.39,0.36,-0.47
0.032,0.38,0.36,-0.46
0.042,0.36,0.36,-0.47
0.042,0.35,0.35,-0.46
0.042,0.35,0.35,-0.45
0.042,0.35,0.34,-0.45
0.045,0.35,0.33,-0.44
0.049,0.36,0.33,-0.43
0.050,0.38,0.32,-0.42
0.060,0.40,0.33,-0.41
0.061,0.43,0.34,-0.40
0.062,0.46,0.35,-0.40
0.063,0.50,0.37,-0.39
0.063,0.55,0.38,-0.39
0.065,0.59,0.39,-0.39
0.070,0.65,0.40,-0.40
0.071,0.70,0.40,-0.40
0.072,0.76,0.40,-0.41
0.075,0.82,0.40,-0.42
0.077,0.87,0.39,-0.43
0.079,0.92,0.38,-0.43
0.093,0.95,0.37,-0.44
0.093,0.99,0.36,-0.44
0.094,1.01,0.35,-0.44
0.094,1.03,0.33,-0.44
0.094,1.04,0.31,-0.44
0.095,1.04,0.29,-0.44
0.099,1.04,0.26,-0.43
0.101,1.03,0.23,-0.43
0.102,1.01,0.20,-0.43
0.105,0.99,0.17,-0.43
0.107,0.97,0.15,-0.44
0.109,0.94,0.13,-0.44
0.112,0.90,0.12,-0.45
0.115,0.87,0.12,-0.46
0.117,0.83,0.12,-0.47
0.119,0.78,0.12,-0.48
0.122,0.74,0.13,-0.49
0.124,0.70,0.15,-0.51
0.127,0.66,0.16,-0.53
0.129,0.62,0.19,-0.55
0.132,0.59,0.21,-0.57
0.147,0.56,0.21,-0.58
0.149,0.53,0.20,-0.59
0.150,0.50,0.18,-0.58
0.151,0.48,0.16,-0.57
0.152,0.47,0.14,-0.54
0.152,0.46,0.14,-0.52
0.153,0.45,0.14,-0.48
0.154,0.44,0.15,-0.45
0.155,0.43,0.15,-0.42
0.159,0.42,0.16,-0.40
0.160,0.41,0.17,-0.38
0.162,0.40,0.19,-0.35
0.164,0.39,0.21,-0.33
0.171,0.37,0.23,-0.32
0.172,0.36,0.25,-0.30
0.172,0.35,0.26,-0.28
0.174,0.34,0.26,-0.26
0.177,0.33,0.25,-0.25
0.179,0.32,0.24,-0.23
0.184,0.31,0.23,-0.21
0.185,0.30,0.21,-0.19
0.187,0.28,0.20,-0.16
0.189,0.27,0.18,-0.14
0.193,0.26,0.16,-0.12
0.195,0.24,0.14,-0.09
0.199,0.22,0.12,-0.07
0.200,0.20,0.09,-0.05
0.203,0.18,0.07,-0.03
0.204,0.16,0.05,-0.01
0.207,0.15,0.04,0.01
0.210,0.13,0.02,0.03
0.212,0.12,0.01,0.04
0.214,0.11,0.01,0.06
0.217,0.10,0.01,0.07
0.220,0.09,0.01,0.08
0.222,0.08,0.01,0.09
0.224,0.07,0.00,0.09
0.227,0.06,-0.01,0.09
0.229,0.05,-0.03,0.09
0.245,0.03,-0.06,0.09
0.246,0.02,-0.10,0.08
0.246,0.01,-0.14,0.08
0.247,-0.01,-0.20,0.07
0.247,-0.03,-0.27,0.06
0.247,-0.07,-0.35,0.05
0.249,-0.12,-0.44,0.04
0.250,-0.19,-0.52,0.03
0.252,-0.25,-0.60,0.03
0.255,-0.31,-0.65,0.03
0.257,-0.36,-0.68,0.03
0.260,-0.41,-0.70,0.04
0.262,-0.46,-0.71,0.05
0.264,-0.50,-0.70,0.06
0.275,-0.53,-0.70,0.08
0.276,-0.55,-0.69,0.10
0.276,-0.57,-0.68,0.11
0.277,-0.59,-0.68,0.13
0.277,-0.59,-0.66,0.14
0.280,-0.60,-0.65,0.16
0.284,-0.59,-0.61,0.17
0.285,-0.58,-0.57,0.18
0.287,-0.56,-0.52,0.19
0.289,-0.54,-0.46,0.19
0.292,-0.52,-0.40,0.19
0.294,-0.49,-0.33,0.19
0.299,-0.46,-0.26,0.20
0.300,-0.43,-0.18,0.19
0.315,-0.40,-0.09,0.20
0.317,-0.36,0.01,0.19
0.317,-0.32,0.10,0.19
0.318,-0.28,0.20,0.19
0.319,-0.23,0.30,0.18
0.320,-0.18,0.40,0.18
0.320,-0.13,0.48,0.17
0.321,-0.08,0.57,0.17
0.322,-0.02,0.66,0.17
0.325,0.03,0.74,0.16
0.327,0.09,0.81,0.16
0.330,0.14,0.87,0.16
0.335,0.20,0.91,0.16
0.336,0.26,0.93,0.16
0.337,0.31,0.93,0.17
0.339,0.36,0.91,0.18
0.342,0.41,0.87,0.19
0.344,0.45,0.82,0.21
0.347,0.50,0.77,0.23
0.350,0.54,0.70,0.26
0.352,0.58,0.63,0.28
0.354,0.61,0.54,0.30
0.357,0.64,0.46,0.32
