time,ax,ay,az,atotal
0.409,-0.77,0.14,-1.8,1.96
0.419,-1.32,0.16,-1.96,2.37
0.429,-1.8,0.11,-2.39,2.99
0.439,-1.84,0.68,-1.69,2.59
0.449,-2.31,0.97,-1.67,3.01
0.459,-1.64,0.26,-1.82,2.46
0.469,-1.62,0.47,-1.72,2.41
0.479,-1.4,0.49,-1.63,2.2
0.489,-1.37,0.46,-1.43,2.03
0.499,-0.67,-0.11,-1.77,1.89
0.509,-0.31,0.01,-0.79,0.85
0.519,-0.21,-0.84,0.4,0.95
0.529,0.33,-1.49,1.13,1.9
0.539,1.05,-1.7,1.88,2.74
0.549,1.85,-2.29,2.08,3.61
0.559,2.14,-2.12,2.14,3.69
0.569,1.68,-1.62,1.67,2.87
0.579,0.86,-0.96,0.86,1.55
0.589,0.63,-0.72,-0.02,0.95
0.599,0.84,-0.53,-0.72,1.23
0.609,0.51,-0.31,-1.26,1.39
0.619,0.17,0.67,-1.77,1.9
0.629,-1.29,0.99,-2.18,2.72
0.639,-1.79,0.73,-2.78,3.39
0.649,-1.37,1.28,-3.17,3.69
0.659,-0.77,1.33,-4.21,4.48
0.669,-0.6,0.97,-4.97,5.1
0.679,-0.33,0.67,-5.44,5.49
0.689,-0.01,0.27,-5.6,5.61
0.699,-0.5,0.37,-5.32,5.35
0.709,-0.41,0.25,-5.24,5.26
0.719,-0.15,-0.02,-5.33,5.33
0.729,0.45,-0.65,-5.29,5.35
0.739,1.36,-1.32,-5.25,5.58
0.749,1.8,-1.73,-4.81,5.42
0.759,1.81,-2.02,1.97,3.35
0.769,1.56,-1.53,5.71,6.12
0.779,1.52,-1.24,8.52,8.75
0.789,0.71,-0.74,5.65,5.74
0.799,0.33,-0.6,1.16,1.35
0.809,0.84,-0.63,-1.76,2.05
0.819,1.48,-0.31,-2.82,3.2
0.829,1.71,0.27,-2.41,2.97
0.839,1.07,0.88,-1.69,2.19
0.849,-0.19,1.24,-0.51,1.35
0.859,-0.9,0.38,1.61,1.88
0.868,-1.39,0.12,3.27,3.56
0.879,-1.93,0.41,3.62,4.12
0.889,-2.05,0.8,2.75,3.52
0.898,-2.34,0.95,1.8,3.1
0.909,-2.35,0.44,0.91,2.56
0.918,-2.33,0.27,0.25,2.36
0.928,-2.8,0.38,0.42,2.86
0.938,-3.25,0.79,1.29,3.58
0.948,-3.58,1.44,2.86,4.8
0.959,-3.89,2.19,3.75,5.83
0.968,-4.1,2.8,3.81,6.26
0.979,-4.28,3.18,3.6,6.44
0.989,-4.55,3.72,3.73,6.96
0.998,-4.65,4.37,4.59,7.86
1.009,-4.29,4.96,5.99,8.88
1.018,-3.76,5.49,7.31,9.89
1.028,-3.1,5.88,7.94,10.35
1.039,-2.46,6.08,7.93,10.29
1.048,-1.94,6.2,8.31,10.55
1.059,-1.65,6.29,9.5,11.5
1.068,-1.72,6.42,10.68,12.58
1.078,-1.76,6.5,11.28,13.14
1.089,-1.68,6.42,11.36,13.16
1.098,-1.41,6.02,11.08,12.69
1.108,-1.01,5.38,10.55,11.89
1.118,-0.41,4.65,10.03,11.06
1.128,0.29,3.92,9.37,10.17
1.139,0.94,3.2,8.58,9.21
1.148,1.68,2.11,7.59,8.05
1.158,2.23,0.79,6.1,6.54
1.168,2.6,-0.17,4.65,5.33
1.178,2.79,-0.74,3.55,4.57
1.188,2.82,-1.02,2.74,4.06
1.198,2.78,-1.21,2.04,3.66
1.208,2.63,-1.42,1.3,3.26
1.218,2.55,-1.96,0.29,3.23
1.228,2.25,-2.77,-0.85,3.67
1.238,1.7,-3.39,-2,4.28
1.248,1.22,-3.68,-2.8,4.78
1.258,0.73,-3.74,-3.28,5.03
1.268,0.35,-3.7,-3.56,5.15
1.278,0.06,-3.6,-3.65,5.12
1.288,-0.34,-3.57,-3.76,5.2
1.298,-0.64,-3.68,-3.65,5.22
1.308,-0.86,-3.88,-3.27,5.15
1.318,-0.96,-4.27,-2.93,5.26
1.328,-0.95,-4.98,-3.07,5.93
1.338,-0.98,-5.94,-3.72,7.08
1.348,-1.15,-6.94,-4.51,8.36
1.358,-1.36,-7.93,-5.12,9.54
1.368,-1.75,-8.86,-5.38,10.51
1.378,-2.16,-9.74,-5.24,11.27
1.388,-2.68,-10.51,-5.01,11.95
1.398,-3.18,-11.15,-4.8,12.55
1.408,-3.23,-11.74,-4.59,13.01
1.418,-2.79,-12.2,-4.44,13.28
1.428,-2.06,-12.5,-4.52,13.45
1.438,-1.22,-12.57,-4.6,13.45
1.448,-0.44,-12.71,-4.53,13.5
1.458,0.53,-12.63,-3.99,13.26
1.468,1.87,-12.13,-2.84,12.6
1.478,3.33,-11.28,-1.39,11.84
1.488,4.86,-10.12,-0.25,11.23
1.498,6.86,-9.14,0.14,11.43
1.508,9.15,-8.42,-0.22,12.43
1.518,11.65,-7.71,-0.76,13.99
1.528,14.29,-6.53,-0.58,15.72
1.538,16.63,-4.68,0.97,17.31
1.548,18.86,-2.48,4.09,19.46
1.558,20.71,-0.53,6.74,21.78
1.569,21.78,0.95,7.17,22.95
1.578,22.15,1.9,6.51,23.16
1.588,21.41,2.39,6.3,22.45
1.598,20,2.99,7.63,21.61
1.608,18.52,3.73,9.73,21.25
1.618,16.89,4.37,10.87,20.56
1.628,15.43,4.75,11.01,19.54
1.638,13.95,5.24,10.94,18.49
1.648,12.39,6.09,11.18,17.76
1.657,10.79,7.31,11.52,17.39
1.668,8.92,8.87,11.74,17.2
1.677,6.97,10.42,11.55,17.05
1.688,4.97,11.94,10.77,16.83
1.697,2.47,13.39,9.73,16.74
1.708,-0.33,14.68,9.08,17.27
1.717,-3.36,16.06,8.6,18.52
1.727,-6.19,17.6,7.76,20.21
1.738,-8.54,19.14,6.59,21.97
1.747,-10.37,20.03,5.32,23.18
1.757,-11.78,20.05,4.01,23.59
1.767,-13.97,20.63,3.02,25.1
1.777,-14.92,20.74,3.62,25.8
1.788,-14.43,20.84,6.1,26.07
1.797,-13.25,20.51,8.9,25.99
1.807,-11.33,18.88,10.9,24.57
1.817,-9.37,16.36,11.62,22.14
1.827,-7.28,13.48,11.42,19.11
1.837,-5.02,10.69,10.73,15.96
