time,wx,wy,wz
0.449,-0.95,0.87,-0.54
0.466,-0.85,0.83,-0.51
0.483,-0.79,0.84,-0.47
0.499,-0.75,0.92,-0.31
0.516,-0.67,0.83,-0.24
0.532,-0.57,0.75,-0.23
0.549,-0.48,0.71,-0.21
0.566,-0.43,0.64,-0.17
0.583,-0.41,0.63,-0.14
0.599,-0.41,0.63,-0.14
0.616,-0.39,0.63,-0.13
0.633,-0.37,0.64,-0.09
0.649,-0.35,0.75,-0.1
0.666,-0.33,0.86,-0.11
0.682,-0.28,0.91,-0.1
0.699,-0.16,0.82,-0.03
0.716,-0.14,0.72,0.03
0.733,-0.06,0.76,0.1
0.749,0.02,0.83,0.19
0.766,0.07,0.9,0.29
0.783,0.13,0.89,0.38
0.799,-0.12,0.16,0.45
0.816,-0.04,-1.15,0.51
0.833,0.1,-0.04,0.47
0.849,0.19,0.76,0.4
0.866,0.13,0.93,0.37
0.883,0,0.82,0.41
0.899,-0.15,0.67,0.4
0.916,-0.24,0.53,0.32
0.933,-0.31,0.37,0.24
0.949,-0.28,0.31,0.19
0.966,-0.22,0.32,0.12
0.983,-0.04,0.35,0.03
1.016,0.01,0.27,0.05
1.033,0.11,0.03,0.04
1.049,0.17,-0.01,0.06
1.083,0.23,0.04,0.2
1.099,0.19,0.16,0.25
1.116,0.1,0.28,0.24
1.133,0.01,0.39,0.22
1.149,-0.08,0.51,0.23
1.166,-0.16,0.55,0.27
1.183,-0.19,0.56,0.3
1.199,-0.2,0.54,0.32
1.216,-0.18,0.55,0.34
1.233,-0.11,0.51,0.34
1.249,-0.02,0.46,0.29
1.266,0.11,0.4,0.23
1.282,0.25,0.29,0.2
1.299,0.38,0.18,0.21
1.316,0.47,0.19,0.23
1.333,0.5,0.36,0.23
1.349,0.45,0.59,0.24
1.366,0.41,0.72,0.23
1.383,0.39,0.7,0.25
1.399,0.38,0.66,0.23
1.416,0.34,0.74,0.21
1.433,0.18,0.86,0.19
1.449,0.06,1.1,0.14
1.466,0,1.4,0.06
1.483,-0.06,1.53,0
1.499,-0.08,1.62,-0.01
1.516,-0.12,1.75,-0.06
1.533,-0.21,1.96,-0.16
1.549,-0.32,2.17,-0.24
1.566,-0.72,2.34,-0.46
1.599,-1,2.46,-0.55
1.616,-1.69,2.77,-0.59
1.633,-1.98,2.67,-0.52
1.666,-2.5,2.7,-0.26
1.683,-2.65,2.77,-0.01
1.699,-2.69,2.72,0.29
1.716,-2.66,2.6,0.61
1.732,-2.58,2.6,0.99
1.749,-2.49,2.74,1.37
1.766,-2.41,2.81,1.75
1.783,-2.35,2.83,2.16
1.799,-2.24,2.85,2.58
1.816,-2.12,2.87,2.96
1.832,-2.04,2.92,3.32
1.849,-2.04,3.02,3.59
1.866,-2.08,3.08,3.76
1.882,-2.11,2.98,3.83
1.899,-2.08,2.81,3.83
1.916,-1.94,2.6,3.84
1.933,-1.76,2.34,3.8
1.949,-1.44,2.03,3.65
1.966,-0.99,1.62,3.4
1.983,-0.5,1.08,3.1
1.999,-0.01,0.51,2.81
2.016,0.48,0.02,2.48
2.032,1.01,-0.24,2.07
2.049,1.54,-0.31,1.68
2.066,2,-0.36,1.37
2.082,2.34,-0.46,1.21
2.099,2.59,-0.53,1.18
2.116,2.74,-0.49,1.2
2.133,2.79,-0.34,1.27
2.149,2.72,-0.17,1.39
2.166,2.52,0.01,1.55
2.182,2.23,0.19,1.7
2.199,1.91,0.37,1.82
