time,ax,ay,az,aT
0.0220,-1.0590,-4.2790,4.7050,6.447
0.0220,-0.8100,-4.4880,4.4400,6.365
0.0220,-0.5840,-4.4350,4.1650,6.112
0.0280,-0.5150,-4.2270,4.2680,6.029
0.0390,-0.6050,-3.9560,4.5260,6.042
0.0480,-0.6280,-3.4060,4.8100,5.927
0.0590,-0.8270,-2.5190,4.7280,5.421
0.0690,-1.5160,-1.4960,4.5000,4.979
0.0800,-2.3830,-0.2250,4.1550,4.795
0.0900,-3.6030,0.7190,3.6650,5.189
0.0980,-4.6150,1.5020,3.0170,5.715
0.1090,-4.6990,2.1700,2.2630,5.649
0.1180,-4.1430,2.3870,1.4550,4.998
0.1280,-3.4370,2.3010,0.9020,4.233
0.1400,-2.8360,2.1080,0.6340,3.590
0.1500,-2.2750,2.0020,0.5760,3.085
0.1580,-1.8120,1.9340,0.6980,2.741
0.1680,-1.5830,1.7400,1.0230,2.565
0.1780,-1.2580,1.3480,1.2450,2.225
0.1980,-0.4990,0.8640,1.3980,1.718
0.1980,0.5410,0.3630,1.5800,1.709
0.2080,1.3350,-0.0080,1.8620,2.291
0.2180,1.8170,-0.1760,2.1850,2.847
0.2280,1.9260,-0.0940,2.4360,3.107
0.2390,1.6690,0.3230,2.6000,3.106
0.2480,1.4710,0.8400,2.5800,3.086
0.2590,1.4160,1.1230,2.4570,3.050
0.2690,1.3840,1.3920,2.3320,3.048
0.2810,1.3700,1.8090,2.2540,3.198
0.2910,1.1900,2.1520,2.1840,3.289
0.2980,0.9360,2.4420,2.0970,3.352
0.3130,0.8850,2.6570,1.9970,3.440
0.3180,0.9100,2.7590,1.9460,3.497
0.3280,0.9740,2.6830,1.8040,3.377
0.3390,1.0780,2.5390,1.6430,3.211
0.3480,1.0940,2.4010,1.4540,3.013
0.3580,1.1070,2.1870,1.2940,2.772
0.3680,1.1340,2.0160,1.1960,2.604
0.3820,1.1440,1.9300,1.1560,2.524
0.3890,1.2570,1.9250,1.0830,2.541
0.3970,1.5200,1.8090,0.9790,2.558
0.4080,1.8060,1.6090,0.9560,2.601
0.4180,2.0080,1.4020,1.0420,2.661
0.4280,2.0130,1.2580,1.2760,2.695
0.4400,1.8020,1.1060,1.5270,2.608
0.4480,1.6340,0.9430,1.7570,2.578
0.4580,1.6680,0.9060,2.1270,2.851
0.4680,1.6990,0.9820,2.5480,3.216
0.4810,1.5470,1.0580,2.8530,3.414
0.4880,1.3830,1.0300,2.9850,3.447
0.5270,1.3470,0.9120,2.9470,3.366
0.5280,1.3950,0.6710,2.8100,3.208
0.5280,1.5020,0.3580,2.6040,3.027
0.5280,1.6430,0.0140,2.3660,2.881
0.5460,1.7140,-0.4230,2.0750,2.724
0.5470,1.7710,-0.8280,1.8940,2.722
0.5670,1.8440,-1.3410,1.7880,2.898
0.5680,1.7990,-1.9990,1.5740,3.116
0.5820,1.7570,-2.5730,1.4640,3.442
0.6220,1.7530,-3.0530,1.4890,3.822
0.6230,1.7200,-3.4790,1.5360,4.174
0.6240,1.5060,-3.6810,1.6330,4.299
0.6240,1.2080,-3.5640,1.7620,4.155
0.6280,0.9220,-3.2270,1.9320,3.872
0.6380,0.6070,-2.7990,2.1380,3.574
0.6490,0.2590,-2.1000,2.3230,3.142
0.6580,0.0360,-1.1770,2.5460,2.805
0.6680,0.0560,-0.3920,2.7820,2.810
0.6840,0.2200,-0.0030,2.9130,2.921
0.6890,0.4590,0.0820,2.8390,2.877
0.6980,0.6850,-0.0090,2.5840,2.673
0.7140,0.8500,-0.2140,2.3480,2.506
0.7190,0.8950,-0.4300,1.8090,2.064
0.7270,0.9200,-0.8320,1.2380,1.753
0.7390,0.7840,-1.3330,0.6640,1.683
0.7480,0.6310,-1.8530,0.0910,1.960
0.7570,0.4720,-2.4280,-0.3800,2.502
0.7680,0.2050,-3.0460,-0.7350,3.140
0.7820,-0.1490,-3.6410,-1.0130,3.782
0.7880,-0.5490,-4.0040,-1.1160,4.193
0.7980,-0.9860,-3.8980,-1.1030,4.169
0.8100,-1.5440,-3.5290,-0.9180,3.960
0.8180,-2.0670,-3.0220,-0.6290,3.715
0.8280,-2.4530,-2.4760,-0.3870,3.507
0.8400,-2.7430,-2.0240,-0.2170,3.416
0.8490,-2.9730,-1.7530,-0.1040,3.453
0.8580,-3.1680,-1.4860,0.0860,3.500
0.8680,-3.3500,-1.1880,0.2830,3.566
0.8770,-3.4660,-0.9830,0.3830,3.623
0.8940,-3.4780,-0.8770,0.4300,3.613
0.8970,-3.5240,-0.8320,0.4020,3.643
0.9080,-3.6130,-0.8310,0.2120,3.713
0.9180,-3.7050,-0.8240,-0.0190,3.796
0.9280,-3.8390,-0.8660,-0.2450,3.943
0.9390,-3.9790,-0.8950,-0.4700,4.105
0.9500,-4.1080,-1.0000,-0.6850,4.283
0.9580,-4.2250,-1.1550,-0.8890,4.469
0.9680,-4.3260,-1.3420,-1.1310,4.668
0.9780,-4.3760,-1.4500,-1.3500,4.804
0.9950,-4.3830,-1.5060,-1.5040,4.872
0.9970,-4.3740,-1.5510,-1.6030,4.910
1.0130,-4.4760,-1.5370,-1.6060,4.998
1.0190,-4.6700,-1.4990,-1.5890,5.156
1.0280,-4.8420,-1.4740,-1.5680,5.299
1.0380,-4.9290,-1.5450,-1.5580,5.395
1.0480,-4.9410,-1.7240,-1.6010,5.473
1.0580,-4.8990,-1.9520,-1.6810,5.535
1.0690,-4.7880,-2.1980,-1.7840,5.562
1.0770,-4.6470,-2.5140,-1.8990,5.614
1.1000,-4.4480,-2.9140,-1.9600,5.667
1.1000,-4.2860,-3.3050,-1.9370,5.748
1.1080,-4.1190,-3.5800,-1.7830,5.741
1.1190,-3.9430,-3.6460,-1.4320,5.558
1.1290,-3.8090,-3.5920,-0.9550,5.322
1.1370,-3.5750,-3.5290,-0.5410,5.052
1.1470,-3.1740,-3.5230,-0.2490,4.748
1.1580,-2.6250,-3.6050,-0.0860,4.460
1.1680,-1.9910,-3.8200,-0.0530,4.308
1.1780,-1.3550,-4.1850,-0.1340,4.401
1.2040,-0.6410,-4.7280,-0.2580,4.778
1.2040,0.3340,-5.4450,-0.2540,5.461
1.2080,0.7680,-5.5860,0.1010,5.639
1.2180,0.3950,-5.0190,0.6570,5.077
1.2270,-0.1050,-4.5770,1.0620,4.700
1.2380,-0.3690,-4.4690,1.1450,4.628
1.2480,-0.6650,-4.3070,1.1010,4.495
1.2570,-1.1720,-3.6950,1.0510,4.016
1.2680,-1.6740,-2.6690,1.1110,3.341
1.2780,-1.8480,-1.4990,1.2580,2.692
1.3050,-1.6280,-0.5670,1.3680,2.201
1.3050,-1.0720,-0.0700,1.2660,1.660
1.3070,-0.3900,0.1170,1.0610,1.136
1.3180,0.2140,0.2670,0.8940,0.957
1.3270,0.7280,0.3400,0.8110,1.142
1.3380,1.2280,0.3300,0.8830,1.548
1.3480,1.6550,0.2380,0.9840,1.940
1.3580,1.9820,0.0670,1.0220,2.231
1.3680,2.2480,-0.1330,1.0430,2.482
1.3780,2.3660,-0.3700,1.0100,2.599
1.4130,2.4220,-0.6270,0.8880,2.655
1.4140,2.5040,-0.8140,0.7610,2.741
1.4140,2.5190,-0.8480,0.7140,2.752
1.4210,2.4540,-0.6620,0.8100,2.668
1.4270,2.3030,-0.3350,0.9990,2.533
1.4370,2.0220,0.1350,1.2320,2.372
1.4480,1.6440,0.6020,1.4590,2.279
1.4570,1.2910,1.0220,1.6780,2.351
1.4720,0.9630,1.3850,1.7950,2.463
1.4770,0.6790,1.6740,1.8570,2.591
1.4920,0.5320,1.9210,1.8290,2.705
1.4970,0.4850,2.0440,1.7380,2.727
1.5070,0.4790,2.0770,1.5590,2.641
1.5170,0.5440,2.0930,1.3480,2.548
1.5280,0.6800,2.0530,1.1490,2.449
1.5370,0.8820,1.9550,1.0080,2.370
1.5480,1.1400,1.8490,0.9460,2.369
1.5570,1.4630,1.7330,0.9010,2.440
1.5680,1.8540,1.5250,0.7970,2.529
1.5770,2.2440,1.3570,0.7090,2.717
1.5930,2.5650,1.3350,0.6040,2.954
1.5970,2.7200,1.3540,0.5500,3.088
1.6100,2.7180,1.2910,0.5690,3.062
1.6240,2.6610,1.1680,0.6820,2.985
1.6270,2.6580,1.1610,0.9010,3.037
1.6370,2.6860,1.2580,1.2220,3.208
1.6470,2.7680,1.4180,1.5500,3.475
1.6570,2.8560,1.5420,1.8250,3.724
1.6680,3.0390,1.6120,1.9850,3.972
1.6770,3.3400,1.6050,2.1410,4.280
1.6900,3.7570,1.5260,2.3380,4.681
1.6970,4.2340,1.4200,2.7250,5.232
1.7070,4.7630,1.2950,3.2370,5.903
1.7170,5.2470,1.1300,3.8150,6.585
1.7290,5.5860,0.9440,4.3890,7.166
1.7370,5.8060,0.6490,4.8050,7.564
1.7470,5.9010,0.2200,4.9730,7.720
1.7590,5.9730,-0.3390,4.9450,7.762
1.7680,6.0560,-1.1480,4.7500,7.782
1.7770,6.0320,-1.9240,4.5040,7.770
1.7930,5.7140,-2.2640,4.3580,7.534
1.7970,5.2140,-2.2350,4.2450,7.085
1.8080,4.6910,-2.0560,4.1140,6.569
1.8180,4.1670,-1.6590,4.0400,6.036
1.8270,3.6200,-1.0570,4.0600,5.541
1.8380,3.0730,-0.3620,4.0650,5.109
1.8470,2.6180,0.2070,3.9960,4.782
1.8570,2.3280,0.5930,3.8880,4.570
1.8670,2.2370,0.7870,3.8050,4.483
1.8770,2.2500,0.7470,3.7530,4.439
1.9010,2.3160,0.5100,3.7500,4.437
1.9020,2.3880,0.0510,3.7170,4.418
1.9070,2.4360,-0.5710,3.5450,4.339
1.9170,2.4100,-1.2570,3.2030,4.201
1.9270,2.3130,-2.0440,2.7460,4.131
1.9380,2.1260,-2.9500,2.1610,4.230
1.9470,1.7550,-3.8520,1.5620,4.512
1.9580,1.2090,-4.5790,0.9520,4.831
1.9740,0.5060,-5.0360,0.4230,5.079
1.9770,-0.1900,-5.2300,-0.0470,5.234
2.0020,-0.7900,-5.2170,-0.3780,5.290
2.0020,-1.3050,-5.0250,-0.6130,5.228
2.0070,-1.7990,-4.6350,-0.7410,5.027
2.0170,-2.2540,-4.0210,-0.7160,4.665
2.0270,-2.6770,-3.3350,-0.5480,4.311
2.0370,-3.0230,-2.7380,-0.3430,4.093
2.0470,-3.2540,-2.2410,-0.1270,3.953
2.0640,-3.3440,-1.8980,0.0110,3.845
2.0670,-3.2580,-1.6700,0.0990,3.662
2.0840,-3.1410,-1.5760,0.1170,3.516
2.0870,-3.1140,-1.5130,0.1250,3.464
2.0980,-3.1760,-1.4000,0.0990,3.472
2.1100,-3.1840,-1.3480,0.0050,3.458
2.1170,-3.1170,-1.4300,-0.1690,3.434
2.1380,-2.9990,-1.5520,-0.4270,3.404
2.1390,-2.9750,-1.6860,-0.8130,3.515
2.1470,-3.0820,-1.7850,-1.2310,3.768
2.1620,-3.2290,-1.8920,-1.5930,4.067
2.1670,-3.4440,-1.9630,-1.8690,4.383
2.1970,-3.7860,-1.9040,-2.0640,4.714
2.1980,-4.1460,-1.7870,-2.1220,4.989
2.1980,-4.4210,-1.7000,-2.1320,5.194
2.2170,-4.6310,-1.6720,-2.0950,5.351
2.2620,-4.7670,-1.6840,-2.0840,5.468
2.2630,-4.8350,-1.8430,-2.0960,5.583
2.2630,-4.8530,-2.0960,-2.1460,5.705
2.2640,-4.9100,-2.3540,-2.2910,5.907
2.2640,-4.9770,-2.6200,-2.5520,6.176
2.2660,-4.9750,-2.9050,-2.8380,6.422
2.2760,-4.8600,-3.2820,-3.0550,6.612
2.3310,-4.7090,-3.6380,-3.1790,6.747
2.3310,-4.6670,-3.8910,-3.2660,6.898
2.3310,-4.7290,-3.9190,-3.2640,6.955
2.3320,-4.8670,-3.7510,-3.1960,6.926
2.3320,-4.9180,-3.4890,-3.0710,6.767
2.3410,-4.6930,-3.4450,-2.9220,6.514
2.3470,-4.0540,-3.8270,-2.7590,6.220
2.3660,-3.1920,-4.4950,-2.5580,6.078
2.3680,-2.4980,-5.0400,-2.3570,6.099
2.3780,-2.1650,-5.3020,-2.1790,6.128
2.3960,-2.0400,-5.2230,-2.0050,5.955
2.3970,-1.9290,-5.0450,-1.8680,5.715
2.4410,-1.8040,-4.9300,-1.7900,5.546
2.4430,-1.7860,-4.7310,-1.7300,5.345
2.4430,-1.9430,-4.0900,-1.6230,4.810
2.4430,-2.1290,-3.0670,-1.3290,3.963
2.4480,-2.1150,-2.0010,-0.8850,3.043
2.4560,-1.7990,-1.2270,-0.4570,2.225
2.4670,-1.1480,-0.7920,-0.0880,1.397
2.4770,-0.4380,-0.6950,0.1770,0.840
2.5090,0.0940,-0.7280,0.4160,0.844
2.5090,0.4160,-0.6790,0.6560,1.032
2.5100,0.7380,-0.6470,0.8910,1.326
2.5160,1.1730,-0.7520,1.0420,1.740
2.5270,1.7090,-1.0280,1.1620,2.308
2.5360,2.1520,-1.3440,1.2270,2.818
2.5460,2.4970,-1.5440,1.3270,3.222
2.5560,2.7330,-1.6010,1.5040,3.506
2.5680,2.9110,-1.4950,1.7210,3.697
2.5760,3.0700,-1.2060,1.9780,3.846
2.6050,3.1320,-0.7820,2.0640,3.832
2.6050,3.1720,-0.3520,1.9600,3.745
2.6060,3.2480,0.0620,1.7600,3.695
2.6170,3.2950,0.4760,1.5970,3.692
2.6260,3.2580,0.8880,1.4950,3.693
2.6360,3.1350,1.3000,1.4450,3.689
2.6470,2.9540,1.6540,1.3550,3.647
2.6630,2.7740,1.8910,1.2570,3.585
2.6670,2.6470,1.9910,1.2270,3.532
2.6770,2.5300,2.0270,1.2970,3.492
2.7050,2.4660,2.0190,1.4530,3.503
2.7050,2.5050,1.9460,1.6050,3.555
2.7060,2.6200,1.8610,1.7850,3.676
2.7180,2.7390,1.7980,1.9140,3.795
2.7260,2.8170,1.6910,1.9820,3.837
2.7360,2.8870,1.5680,2.0200,3.857
2.7460,2.9640,1.4270,2.0600,3.881
2.7560,3.1420,1.2620,2.1580,4.015
2.7680,3.4300,1.1320,2.2770,4.270
2.7760,3.6830,1.0750,2.3540,4.501
2.8050,3.8640,1.1320,2.3470,4.661
2.8050,3.9880,1.2710,2.3080,4.780
2.8060,4.1190,1.4510,2.2680,4.921
2.8170,4.2350,1.6070,2.2910,5.076
2.8270,4.3700,1.7580,2.3880,5.281
2.8360,4.6110,1.9240,2.4740,5.575
2.8460,5.0540,2.0410,2.5120,6.002
2.8560,5.5250,2.0790,2.5280,6.422
2.8660,5.8900,2.0120,2.5310,6.719
2.8770,6.1260,1.8230,2.5200,6.870
2.9080,6.2580,1.5400,2.4570,6.897
2.9090,6.2420,1.1860,2.3870,6.787
2.9090,6.1140,0.7940,2.3620,6.602
2.9170,5.9130,0.4110,2.4080,6.398
2.9260,5.6550,0.0500,2.4570,6.166
2.9360,5.4280,-0.4500,2.4630,5.978
2.9460,5.2130,-1.0910,2.5230,5.893
2.9600,4.8630,-1.5620,2.6140,5.738
2.9730,4.3980,-1.6920,2.8530,5.509
2.9750,4.0280,-1.5370,3.0980,5.309
3.0070,3.7400,-1.1850,3.2970,5.125
3.0070,3.3940,-0.5090,3.5270,4.921
3.0080,3.1180,0.3810,3.7390,4.883
3.0160,3.0690,1.1110,3.9180,5.099
3.0270,3.1240,1.5890,4.0350,5.345
3.0360,3.2530,1.8180,4.0770,5.524
3.0460,3.4190,1.8200,4.0880,5.631
3.0560,3.6850,1.6340,4.0490,5.713
3.0690,3.9870,1.3060,3.8700,5.708
3.0770,4.2570,0.8670,3.5240,5.594
3.0920,4.4300,0.3760,3.0580,5.396
3.0970,4.4900,-0.2750,2.5240,5.158
3.1260,4.3980,-1.0690,2.0640,4.974
3.1300,4.0760,-1.8290,1.7020,4.781
3.1310,3.5750,-2.4580,1.4590,4.577
3.1370,2.9070,-2.9290,1.3020,4.327
3.1460,2.1480,-3.2300,1.2400,4.072
3.1560,1.4170,-3.3480,1.1980,3.828
3.1660,0.7250,-3.2220,1.1830,3.508
3.1770,0.0730,-2.9150,1.1250,3.125
3.1890,-0.5280,-2.4520,1.1000,2.739
3.1960,-1.0700,-1.9170,1.1290,2.469
3.2240,-1.4710,-1.4330,1.1670,2.362
3.2240,-1.7240,-1.0740,1.1550,2.337
3.2250,-1.9080,-0.8280,1.1370,2.370
3.2360,-2.0060,-0.6680,1.0800,2.374
3.2470,-2.1120,-0.5600,0.9210,2.371
3.2560,-2.1190,-0.5790,0.6570,2.293
3.2660,-2.1150,-0.6720,0.3590,2.248
3.2770,-2.0960,-0.8060,0.0600,2.246
3.2900,-2.0800,-0.9820,-0.2600,2.315
3.2960,-2.1090,-1.1610,-0.5950,2.480
3.3200,-2.1990,-1.3460,-0.9710,2.755
3.3210,-2.3340,-1.5340,-1.3810,3.116
3.3260,-2.5060,-1.6010,-1.6790,3.415
3.3360,-2.6400,-1.5790,-1.8480,3.589
3.3460,-2.7330,-1.5840,-2.0050,3.741
3.3560,-2.8330,-1.6050,-2.1910,3.925
3.3680,-2.9860,-1.5300,-2.3770,4.112
3.3760,-3.0750,-1.4110,-2.5210,4.219
3.3860,-3.0970,-1.3690,-2.6700,4.312
3.3960,-3.0760,-1.4270,-2.8220,4.412
3.4060,-3.1160,-1.5110,-3.0310,4.602
3.4170,-3.1690,-1.6160,-3.2490,4.818
3.4500,-3.2770,-1.8040,-3.4470,5.087
3.4510,-3.4190,-2.0740,-3.6030,5.383
3.4510,-3.5930,-2.4410,-3.7140,5.715
3.4560,-3.7840,-2.8950,-3.7400,6.057
3.4670,-3.9950,-3.2290,-3.7030,6.332
3.4760,-4.1920,-3.3530,-3.6350,6.483
3.4900,-4.3210,-3.3380,-3.5430,6.509
3.4970,-4.2300,-3.3280,-3.4210,6.377
3.5310,-3.8880,-3.4700,-3.2510,6.142
3.5320,-3.4100,-3.8500,-3.1020,6.006
3.5320,-2.8400,-4.4190,-2.9910,6.045
3.5360,-2.3830,-4.9740,-2.9290,6.245
3.5460,-2.2500,-5.1930,-2.8730,6.347
3.5560,-2.2990,-5.1760,-2.7920,6.314
3.5660,-2.3190,-5.0950,-2.7060,6.218
3.5760,-2.4060,-4.7640,-2.5660,5.922
3.5880,-2.5700,-4.1000,-2.3070,5.361
3.5950,-2.6780,-3.2280,-1.9850,4.640
3.6170,-2.5710,-2.2370,-1.5580,3.747
3.6180,-2.2030,-1.4170,-1.0400,2.818
3.6260,-1.6070,-0.9170,-0.5590,1.933
3.6360,-0.8560,-0.6290,-0.0890,1.066
3.6460,-0.0860,-0.4460,0.3840,0.595
3.6550,0.5660,-0.2430,0.8050,1.014
