time,wx,wy,wz
0.026,0.08,-0.38,0.35
0.027,0.07,-0.36,0.34
0.027,0.06,-0.33,0.34
0.028,0.05,-0.30,0.33
0.028,0.04,-0.26,0.32
0.029,0.02,-0.21,0.31
0.029,0.00,-0.16,0.30
0.029,-0.01,-0.10,0.29
0.029,-0.02,-0.03,0.28
0.030,-0.04,0.03,0.27
0.030,-0.06,0.09,0.26
0.031,-0.08,0.16,0.25
0.031,-0.10,0.21,0.23
0.032,-0.13,0.26,0.21
0.033,-0.15,0.30,0.19
0.033,-0.17,0.32,0.17
0.038,-0.20,0.34,0.15
0.039,-0.22,0.35,0.13
0.041,-0.24,0.35,0.11
0.043,-0.26,0.35,0.09
0.045,-0.29,0.34,0.06
0.047,-0.31,0.34,0.04
0.052,-0.33,0.34,0.00
0.054,-0.35,0.33,-0.04
0.055,-0.39,0.31,-0.08
0.057,-0.42,0.28,-0.13
0.060,-0.45,0.25,-0.16
0.063,-0.47,0.25,-0.20
0.065,-0.48,0.25,-0.22
0.067,-0.50,0.28,-0.24
0.079,-0.51,0.30,-0.27
0.080,-0.53,0.34,-0.30
0.081,-0.54,0.38,-0.32
0.081,-0.55,0.43,-0.35
0.082,-0.57,0.48,-0.39
0.082,-0.58,0.53,-0.42
0.086,-0.60,0.59,-0.45
0.087,-0.61,0.65,-0.48
0.090,-0.61,0.72,-0.50
0.094,-0.62,0.79,-0.53
0.095,-0.63,0.85,-0.55
0.097,-0.64,0.92,-0.58
0.100,-0.63,1.01,-0.59
0.113,-0.64,1.08,-0.62
0.114,-0.64,1.15,-0.64
0.114,-0.64,1.21,-0.67
0.114,-0.64,1.25,-0.70
0.115,-0.63,1.30,-0.72
0.115,-0.62,1.32,-0.75
0.117,-0.62,1.31,-0.79
0.120,-0.61,1.29,-0.81
0.123,-0.61,1.26,-0.85
0.125,-0.60,1.22,-0.88
0.128,-0.59,1.17,-0.91
0.130,-0.59,1.13,-0.95
0.133,-0.58,1.07,-0.99
0.150,-0.58,1.02,-1.04
0.151,-0.58,0.98,-1.09
0.152,-0.58,0.93,-1.15
0.152,-0.58,0.88,-1.20
0.153,-0.58,0.82,-1.26
0.154,-0.59,0.77,-1.31
0.154,-0.62,0.73,-1.37
0.155,-0.63,0.68,-1.43
0.179,-0.64,0.63,-1.49
0.179,-0.65,0.60,-1.56
0.180,-0.67,0.56,-1.62
0.180,-0.68,0.52,-1.69
0.180,-0.70,0.47,-1.76
0.181,-0.72,0.42,-1.83
0.181,-0.75,0.38,-1.91
0.181,-0.78,0.33,-1.99
0.181,-0.82,0.29,-2.05
0.182,-0.84,0.26,-2.11
0.182,-0.85,0.24,-2.16
0.184,-0.87,0.21,-2.19
0.185,-0.89,0.19,-2.22
0.187,-0.92,0.15,-2.24
0.190,-0.95,0.11,-2.26
0.192,-0.99,0.05,-2.27
0.195,-1.04,0.00,-2.30
0.197,-1.09,-0.05,-2.31
0.200,-1.14,-0.10,-2.34
0.203,-1.19,-0.15,-2.36
0.205,-1.23,-0.18,-2.39
0.207,-1.27,-0.20,-2.42
0.210,-1.30,-0.22,-2.45
0.212,-1.33,-0.21,-2.49
0.215,-1.35,-0.19,-2.53
0.218,-1.35,-0.16,-2.57
0.221,-1.35,-0.12,-2.61
0.222,-1.36,-0.09,-2.65
0.225,-1.36,-0.06,-2.67
0.227,-1.37,-0.03,-2.69
0.230,-1.39,0.01,-2.70
0.232,-1.40,0.06,-2.70
0.237,-1.43,0.13,-2.71
0.238,-1.45,0.26,-2.73
0.240,-1.48,0.47,-2.78
0.243,-1.53,0.73,-2.86
0.247,-1.58,1.01,-2.94
0.248,-1.63,1.21,-3.03
0.250,-1.65,1.30,-3.07
0.266,-1.62,1.27,-3.09
0.267,-1.58,1.16,-3.07
0.268,-1.52,1.03,-3.04
0.268,-1.47,0.91,-3.01
0.269,-1.41,0.84,-2.97
0.270,-1.35,0.80,-2.94
0.270,-1.29,0.80,-2.91
0.271,-1.21,0.80,-2.87
0.296,-1.14,0.81,-2.83
0.297,-1.06,0.82,-2.78
0.297,-0.99,0.83,-2.73
0.298,-0.91,0.83,-2.67
0.298,-0.84,0.83,-2.61
0.298,-0.77,0.83,-2.54
0.299,-0.69,0.81,-2.47
0.299,-0.62,0.77,-2.39
0.299,-0.53,0.72,-2.30
0.299,-0.44,0.69,-2.23
0.300,-0.38,0.68,-2.16
0.300,-0.33,0.72,-2.12
0.302,-0.32,0.81,-2.08
0.305,-0.31,0.93,-2.04
0.307,-0.30,1.07,-1.99
0.310,-0.28,1.22,-1.93
0.312,-0.26,1.36,-1.87
0.317,-0.26,1.46,-1.81
0.318,-0.26,1.54,-1.75
0.328,-0.25,1.56,-1.70
0.329,-0.26,1.53,-1.65
0.329,-0.26,1.51,-1.62
0.329,-0.29,1.47,-1.58
0.330,-0.32,1.47,-1.58
0.333,-0.37,1.46,-1.59
0.337,-0.43,1.45,-1.60
0.338,-0.50,1.41,-1.60
0.340,-0.57,1.36,-1.59
0.342,-0.65,1.26,-1.56
0.345,-0.73,1.13,-1.52
0.348,-0.82,0.96,-1.47
0.350,-0.89,0.80,-1.43
0.368,-0.94,0.65,-1.40
0.369,-0.99,0.50,-1.39
0.370,-1.03,0.36,-1.38
0.371,-1.07,0.25,-1.38
0.371,-1.12,0.15,-1.38
0.372,-1.16,0.06,-1.39
0.373,-1.21,-0.01,-1.42
0.373,-1.25,-0.06,-1.45
0.374,-1.29,-0.09,-1.49
0.375,-1.33,-0.09,-1.52
0.378,-1.36,-0.03,-1.54
0.380,-1.38,0.09,-1.56
0.382,-1.39,0.27,-1.57
0.402,-1.39,0.50,-1.57
0.402,-1.41,0.73,-1.57
