time,ax,ay,az,atotal
0.22,0.15,0.41,-0.63,0.76
0.23,0.17,0.43,-0.54,0.71
0.24,0.13,0.49,-0.46,0.68
0.25,0.14,0.57,-0.35,0.69
0.26,0.2,0.59,-0.32,0.7
0.27,0.29,0.68,-0.34,0.82
0.28,0.35,0.69,-0.39,0.87
0.29,0.41,0.77,-0.48,0.99
0.3,0.49,0.91,-0.53,1.17
0.31,0.52,1,-0.78,1.37
0.32,0.48,0.97,-0.76,1.32
0.329,0.55,0.94,-0.75,1.33
0.34,0.66,0.96,-0.77,1.4
0.35,0.65,0.87,-0.66,1.27
0.359,0.67,0.81,-0.71,1.27
0.37,0.72,0.72,-1.08,1.48
0.379,0.75,0.65,-1.34,1.67
0.389,0.78,0.67,-1.55,1.85
0.399,0.68,0.5,-1.33,1.57
0.409,0.48,0.28,-0.86,1.02
0.419,0.33,0.29,-0.54,0.7
0.429,0.21,0.07,-0.41,0.47
0.439,-0.27,-0.32,0.02,0.42
0.449,-0.43,-0.32,0.32,0.62
0.459,-0.47,-1.56,0.15,1.63
0.469,-0.24,-1.57,-0.13,1.59
0.479,0.21,-2.49,-0.05,2.5
0.489,0.75,-2.92,-0.35,3.03
0.499,0.87,-2.63,-0.56,2.83
0.509,0.57,-2.19,-0.71,2.37
0.519,0.06,-1.32,-0.69,1.49
0.529,-0.17,-0.51,-0.54,0.76
0.539,-0.19,0.06,-0.55,0.59
0.549,-0.32,0.61,-0.72,1
0.559,-0.99,1.34,-1.53,2.26
0.569,-0.95,1.02,-1.56,2.09
0.579,-0.38,0.6,-1.85,1.99
0.589,-0.27,0.65,-2.65,2.74
0.599,-0.3,0.55,-3.45,3.5
0.609,-0.15,0.61,-3.65,3.7
0.619,0.65,0.83,-3.89,4.03
0.629,1.46,0.75,-3.89,4.22
0.639,1.28,0.63,-3.6,3.87
0.649,0.42,0.77,-3.86,3.96
0.659,-0.22,0.8,-4.36,4.44
0.669,-0.32,0.47,-4.72,4.76
0.679,-0.65,0.43,-4.82,4.88
0.689,-1.06,0.36,-4.82,4.95
0.699,-1.53,0.29,-4.9,5.14
0.709,-2.15,0.3,-4.76,5.23
0.719,-2.77,0.41,-5.12,5.83
0.729,-3.3,0.26,-4.97,5.97
0.739,-3.52,0.06,-4.2,5.48
0.749,-4.05,0.09,-4.11,5.77
0.759,-4.25,-0.03,-4.12,5.92
0.769,-4.43,-0.08,-3.7,5.77
0.779,-5.02,-0.11,-3.23,5.97
0.789,-5.5,-0.03,-2.83,6.19
0.799,-5.37,0.34,-2.59,5.97
0.809,-5.17,0.61,-2.51,5.78
0.819,-5.18,0.79,-2.5,5.8
0.829,-5.31,0.98,-2.24,5.84
0.839,-5.31,1.38,-1.81,5.78
0.849,-4.98,1.83,-1.46,5.5
0.859,-4.88,1.91,-1.3,5.4
0.869,-4.99,1.93,-1.22,5.49
0.879,-5.13,2.27,-1.42,5.78
0.889,-5.17,2.24,-1.3,5.78
0.899,-4.98,1.74,-0.55,5.3
0.909,-5.27,1.3,-0.17,5.43
0.919,-5.92,0.98,0.68,6.04
0.928,-6.6,0.1,1.33,6.73
0.939,-6.79,-0.14,2.08,7.1
0.949,-6.96,-0.23,2.6,7.43
0.958,-7.03,-0.94,3.08,7.73
0.969,-6.83,-1.72,3.34,7.8
0.978,-6.59,-2.39,3.43,7.8
0.988,-6.6,-3.23,3.49,8.13
0.998,-6.9,-3.77,3.43,8.58
1.008,-6.87,-4.33,3.42,8.82
1.018,-6.22,-5.33,3.3,8.83
1.028,-5.47,-5.83,3.51,8.73
1.038,-4.83,-6.06,3.92,8.69
1.049,-4.56,-6.19,4.25,8.78
1.058,-5.12,-6.03,4.62,9.16
1.068,-5.47,-5.94,5.47,9.75
1.078,-5.27,-6.27,5.96,10.13
1.088,-4.78,-6.88,6.14,10.39
1.098,-4.14,-7.55,6.04,10.52
1.108,-3.63,-8.05,5.73,10.53
1.118,-3.37,-8.64,5.73,10.91
